hashtags:,#fyp,#merida,#yucatan,#humor
post_url,username,comment_id,comment_text
victorhugochiuvirgilio,18049873745036076,https://www.instagram.com/p/DGlryYUJ0cR/,Esa rrrrrrrrrr chulis
nos0y_yoyo,18168558487335272,https://www.instagram.com/p/DGlryYUJ0cR/,BASTIAN Y SU TORTA DE TAMAL JAJAJA
imnameval,17932110930010171,https://www.instagram.com/p/DGlryYUJ0cR/,KAJAJA BASTIAN Y SU TORTA DE TAMAL AJJAJAJAJA
jorgetadeo60,18274954942248252,https://www.instagram.com/p/DGlryYUJ0cR/,Bastian cuando te metiste esa tortita
angelindzul,17869516386246011,https://www.instagram.com/p/DGlryYUJ0cR/,Me caga sus vídeos 😬 por qué graba ala gente  los expone y ni les regala  nada hay no que horror
luisedermi,18053145959276201,https://www.instagram.com/p/DGlryYUJ0cR/,😂😂😂
peggytrujeque,18060451985286586,https://www.instagram.com/p/DGlryYUJ0cR/,Si ya vi
rodyarredondo22,18032971016309375,https://www.instagram.com/p/DGlryYUJ0cR/,Unaaaa toooortaaa de tamaaaal
alejandroloo,17951597153943746,https://www.instagram.com/p/DGlryYUJ0cR/,Hablan bonito los yucatecos 🤭🤭
wifatofer,17892972645090413,https://www.instagram.com/p/DGlryYUJ0cR/,😂😂
fredysc0,18052590791470369,https://www.instagram.com/p/DGlryYUJ0cR/,Pero quién me jalo mi cabellito 🍆
camacho.contreras.181453,17899599426150550,https://www.instagram.com/p/DGlryYUJ0cR/,😂😂😂😂😂
jesusalfredocanchecahun,18064066690771373,https://www.instagram.com/p/DGlryYUJ0cR/,Adoro mi ciudad natal Yucatán ❤️👏🔥
josebalampasos,18359505733123133,https://www.instagram.com/p/DGlryYUJ0cR/,Preguntas más vulgares q haces
jabriruiz,18496556767010293,https://www.instagram.com/p/DGlryYUJ0cR/,“Para comer” JJAJAJA
itssnataax,18058009453871077,https://www.instagram.com/p/DGlryYUJ0cR/,Bastiaan se paso
charlie_navtre_270295,18079559812711615,https://www.instagram.com/p/DGlryYUJ0cR/,Info vía mensaje personal o inbox
charlie_navtre_270295,17878629306258183,https://www.instagram.com/p/DGlryYUJ0cR/,Ven a grabar un video a panaba yucatan
soy_la_parce_1,17885886081229974,https://www.instagram.com/p/DGlryYUJ0cR/,"""una tooooorta e tamaalll"" 😳😂😂😂😂"
wilberth_torress,18040650779579626,https://www.instagram.com/p/DGlryYUJ0cR/,Es una de respeto  no compartir  los ig de los vatos
imnameval,18027243377395648,https://www.instagram.com/p/DGlryYUJ0cR/,@taquito_torres.0 cuál de todos? Jsjs
abrahamdelatotorre,18376245727142263,https://www.instagram.com/p/DGlryYUJ0cR/,@mauupe_
danoropez,18061598353816127,https://www.instagram.com/p/DGlryYUJ0cR/,Lo más gande
eli_rah4,17943646877950934,https://www.instagram.com/p/DGlryYUJ0cR/,"Que diga ""quién me jalo mi cabeio"""
david.sagelliv,18086486632521896,https://www.instagram.com/p/DGlryYUJ0cR/,Son yucatecos🤔😅
caamal_.privv,18006469922537644,https://www.instagram.com/p/DGlryYUJ0cR/,@m1rand_gui03 y mi pollo por qué no lo mencionaste
regrsrg,18094546135553869,https://www.instagram.com/p/DGlryYUJ0cR/,@caamal_.privv 😟
armandobalam,17939611598851831,https://www.instagram.com/p/DGlryYUJ0cR/,@cynthiasanchez31 @edgaresparzalopez
law___._._,17980922084667285,https://www.instagram.com/p/DGlryYUJ0cR/,A los tipos del csa yo sé qn son :v
rubit142,18080085442570762,https://www.instagram.com/p/DGlryYUJ0cR/,JAJAJAJA WEEEEEY EL ÚLTIMO MORRITO SERÁ QUE SEA YUCATECO???
motivation_edits_gym,18360726307121353,https://www.instagram.com/p/DGlryYUJ0cR/,"@rubit142 no wey es inglés 😱😱
😂🤣🤣🤣🤣"
