hashtags:,#merida,#yucatan,#fyp
post_url,username,comment_id,comment_text
dyra365,18070891183720720,https://www.instagram.com/p/DGomozgJzeT/,@jacobjns_tattoo excelente
jacobjns_tattoo,18056704141915052,https://www.instagram.com/p/DGomozgJzeT/,@dyra365 gracias 🙌🔥
tony_huchim,18078509128734451,https://www.instagram.com/p/DGomozgJzeT/,El pollo pero dentro
aldairalvarezm,17936511338993752,https://www.instagram.com/p/DGomozgJzeT/,Rrrr
voiltio,18080566546563074,https://www.instagram.com/p/DGomozgJzeT/,Cuánto te cobro por ese
jorgee780420,18038759636438882,https://www.instagram.com/p/DGomozgJzeT/,Le faltó color se ve X el tayuaje
andres.alamilla.792,18088740151509003,https://www.instagram.com/p/DGomozgJzeT/,Te hubieras quedado con el que te gusta jajajaja
san_antonio_59,18074160940685546,https://www.instagram.com/p/DGomozgJzeT/,Excelente 🔥🔥🔥🔥🔥🔥
enriquecastillopacheco,18256075933302374,https://www.instagram.com/p/DGomozgJzeT/,Le falta su linea está pésima
contreraschiu360976,17988630233790675,https://www.instagram.com/p/DGomozgJzeT/,Jajakajjaka tienes q pedir permiso jajajajjaa
fernandocollimoreno,17895965772083840,https://www.instagram.com/p/DGomozgJzeT/,Le falto color solo te rayaron de negro eso es para principiantes
nivimary14,17851137408407255,https://www.instagram.com/p/DGomozgJzeT/,El mejor!
jacobjns_tattoo,18348957646145393,https://www.instagram.com/p/DGomozgJzeT/,@nivimary14 🙌🔥❤️
ritoruacho,18038789489597509,https://www.instagram.com/p/DGomozgJzeT/,🙌🏽
jacobjns_tattoo,18274895527264986,https://www.instagram.com/p/DGomozgJzeT/,Nos rifamos hermano que buen cotorreo gracias por todo 🔥🙌❤️🫂
ballinashernande,17846772969424041,https://www.instagram.com/p/DGomozgJzeT/,@jacobjns_tattoo tienes algún número?
puc.isaias,18032947940537863,https://www.instagram.com/p/DGomozgJzeT/,@jacobjns_tattoo información algún número de contacto
jacobjns_tattoo,18053453894152057,https://www.instagram.com/p/DGomozgJzeT/,@puc.isaias claro que si amigo 9996427403
felipe.catzin.1,18012722129709162,https://www.instagram.com/p/DGomozgJzeT/,@jacobjns_tattoo tienes algún número de contacto Bro estoy interesado
jacobjns_tattoo,18052016282247518,https://www.instagram.com/p/DGomozgJzeT/,@felipe.catzin.1 hola hermano claro que si 9996427403🙌
valen_tin1405,18059464697292488,https://www.instagram.com/p/DGomozgJzeT/,La mera crema Bro !!
jacobjns_tattoo,18164706607328076,https://www.instagram.com/p/DGomozgJzeT/,@valen_tin1405 🔥🙌
alejandro_tebas,18118455439434142,https://www.instagram.com/p/DGomozgJzeT/,@jacobjns_tattoo el mejor 😎💣💥
jacobjns_tattoo,18181979515312644,https://www.instagram.com/p/DGomozgJzeT/,@alejandro_tebas 🙌🙌❤️❤️ gracias bb
yonerone_merida,17951918747831245,https://www.instagram.com/p/DGomozgJzeT/,🔥🔥🔥
jacobjns_tattoo,17916836295063429,https://www.instagram.com/p/DGomozgJzeT/,@yonerone_merida 🙌🔥
fcodvalle,18046857638362773,https://www.instagram.com/p/DGomozgJzeT/,Estaba más verga el primero. Lo cambiaste por un tatuaje x. Eso es miedo al éxito.
amoyashante,18491212231020115,https://www.instagram.com/p/DGomozgJzeT/,Guapo 🥵🥵😍😍
juliolealortiz,17981980679805994,https://www.instagram.com/p/DGomozgJzeT/,@amoyashante 😛😘
