https://www.instagram.com/p/DHFIBvZMDH-/,hashtags:,#merida,#yucatan,#entrevista,#fyp,#fypシ゚,#fypageシ
username,comment_id,text
chalexco,18400987342106486,"Qué dice la canción de Maldita Vecindad ??
... la verdad yo prefiero los XXXX, yo mejor me regreso a Yucatán...."
c_h_cuellar,18185719135311178,Copiar hiiizo
_tony_ortega_,17862072087369954,👌🏼🧐
yoan.rod,18042294575454431,Dónde está la otra mitad de medio ambiente 😂😂
juliabereniceleal,18151001707364894,😂😂😂👏
marquitosminolito,18109600678472967,La vieja Zelanda es una provincia de Países bajos. Los holandeses conquistaron esa isla
chg.jin,18058144078894216,QUÉ HACE IBRA AHÍ JAJAJAJAJ
im.abner,18088407676598175,😂😂😂
jahirdelatorre,18067439824899703,Y porque hablan tan Qlero 😂
fernanda.santiago25,17885293089232726,😂😂😂
okafor._z,17924759681935665,Les juro que no hablamos así 😭
kuronekoblackcat1,17917160244082750,@yamakumo_ que tiene?suena bonito 😔
irais.soy,17872313745312096,El acento es lo mejor
carolinamayorgacopca,18174956458318247,😂😂
cristhiancanul,18049145897215635,👏👏😂
juliolealortiz,17896805448068276,@cristhiancanul 😂🙌
gerryoc,18116681692448158,😂😂😂
juliolealortiz,18055925813174934,@gerryoc 😂😂😂
