hashtags:,#fyp,#merida,#yucatan,#humor,#comedia
post_url,username,comment_id,comment_text
carlo_s_hdez,17905573941035630,https://www.instagram.com/p/DHcQewxsw7m/,At mi xii
mauuquiroga,18078817372614549,https://www.instagram.com/p/DHcQewxsw7m/,El sammy yucateco no existe/ El sammy yucateco:
angelpootmx,17846921073427104,https://www.instagram.com/p/DHcQewxsw7m/,Instagram del chico por favor
deyi.son,18202372576305914,https://www.instagram.com/p/DHcQewxsw7m/,👏👏👏
lorena_isabel_12,18160913134348177,https://www.instagram.com/p/DHcQewxsw7m/,🤣🤣🤣
im.abner,18028976810355847,https://www.instagram.com/p/DHcQewxsw7m/,😂😂😂
adrianacanche87,18062432503951894,https://www.instagram.com/p/DHcQewxsw7m/,"Jajajajajajaja hoy si me hiciste reír, ya lo repetí 10 veces y me sigo riendo"
dmdibe,17896045929187301,https://www.instagram.com/p/DHcQewxsw7m/,😂😂😂 soy muy feliz al haber descubierto este ig Jajaajja no paro de reírme!
juliolealortiz,18116858521405657,https://www.instagram.com/p/DHcQewxsw7m/,@dmdibe 🙌
negradehueso,18332028406094859,https://www.instagram.com/p/DHcQewxsw7m/,😂😂😂😂
victorgurubel,17907113013017062,https://www.instagram.com/p/DHcQewxsw7m/,Jajajajjaja
la_amc17,18350093443180545,https://www.instagram.com/p/DHcQewxsw7m/,“Midyu quesesa madre” 😂😂
juliolealortiz,17961326501864437,https://www.instagram.com/p/DHcQewxsw7m/,@la_amc17 😂😂
jesusdesign777,17961538265764733,https://www.instagram.com/p/DHcQewxsw7m/,Segunda parte con ese mismo wey jejej 😂
sanher_manu2695,18063249424812891,https://www.instagram.com/p/DHcQewxsw7m/,Así te llamas nice  tu midio  jajaja
juliolealortiz,17862568770366043,https://www.instagram.com/p/DHcQewxsw7m/,@sanher_manu2695 😂😂😂😂
jorgemartos22,18025801286397017,https://www.instagram.com/p/DHcQewxsw7m/,Doc: perro. Ame😂😂😂
juliolealortiz,17954182358934548,https://www.instagram.com/p/DHcQewxsw7m/,@jorgemartos22 😂😂😂
gabymorales23,18061222949478904,https://www.instagram.com/p/DHcQewxsw7m/,"@nadia_lt_ ""yes"" *acomodo de queso*. Jajajajajaajajajajajaaj"
nadia_lt_,17883731043142506,https://www.instagram.com/p/DHcQewxsw7m/,@gabymorales23 jajajajajajaja cosas que no sabía que necesitaba escuchar 🤣🤣🤣
ucoeto,18028117004359299,https://www.instagram.com/p/DHcQewxsw7m/,Hahaha no se inglés yo soy maya hahaha. Ame esa respuesta
juliolealortiz,18072803185833399,https://www.instagram.com/p/DHcQewxsw7m/,@ucoeto 😂
oswaldomatu,18341013028153986,https://www.instagram.com/p/DHcQewxsw7m/,😂😂😂😂😂😂
zocky_guevara,18045933230365118,https://www.instagram.com/p/DHcQewxsw7m/,🤣🤣🤣
joesantanab,17847870273430744,https://www.instagram.com/p/DHcQewxsw7m/,Te saludo con la misma mano que hizo el acomodo de 🥚
oswaldomatu,18073635319765194,https://www.instagram.com/p/DHcQewxsw7m/,@joesantanab JAJAJAJA
marianomedinaquijano,17860730772306643,https://www.instagram.com/p/DHcQewxsw7m/,aplausos al camarada
josetwitts,18012815864514925,https://www.instagram.com/p/DHcQewxsw7m/,"Instagram, Facebook, Twitter, pizza y OK"
juliolealortiz,18082617697720086,https://www.instagram.com/p/DHcQewxsw7m/,@josetwitts jaajjajajjjjajajajajaaj!
alexis_ishem,18041297816385741,https://www.instagram.com/p/DHcQewxsw7m/,"Yes! ""Procede a acomodarse"" 😂  como lo ves padrino? 😂"
juliolealortiz,18049852898257844,https://www.instagram.com/p/DHcQewxsw7m/,Tú cómo lo ves? Jajajaj 😂
alexis_ishem,17891509884207361,https://www.instagram.com/p/DHcQewxsw7m/,"@juliolealortiz ""ahí si me jodiste no se"" 🤣"
joesantanab,18060880619506237,https://www.instagram.com/p/DHcQewxsw7m/,"Le quitaste la gracia al video, había visto algo mejor."
juliolealortiz,18060531839006171,https://www.instagram.com/p/DHcQewxsw7m/,@joesantanab en el contenido exclusivo o que? Jajaja wey se me olvidó
joesantanab,18008303375709458,https://www.instagram.com/p/DHcQewxsw7m/,@juliolealortiz pelanaaaaá jajajaa
alexis_ishem,17904461241131922,https://www.instagram.com/p/DHcQewxsw7m/,@juliolealortiz cómo va ser padrino?
josetwitts,18067030651915723,https://www.instagram.com/p/DHcQewxsw7m/,@joesantanab está en caída libre su carrera la vdd
ale.ceb,17866795647261164,https://www.instagram.com/p/DHcQewxsw7m/,Jajaja hagan más de estos videos
juliolealortiz,18045756167082847,https://www.instagram.com/p/DHcQewxsw7m/,@ale.ceb va 😂
