hashtags:,#merida,#yucatan,#fyp,#humor,#comedia
post_url,username,comment_id,comment_text
joesantanab,18055979543225684,https://www.instagram.com/p/DJQDGexshal/,Me convenció porque el trompó giraba  a una velocidad impresionante 😂
juliolealortiz,18068850874755153,https://www.instagram.com/p/DJQDGexshal/,@joesantanab 😂😂
edificiosmayas,17975180177715314,https://www.instagram.com/p/DJQDGexshal/,👏👏👏👏
juliolealortiz,17862172194395896,https://www.instagram.com/p/DJQDGexshal/,@edificiosmayas vamos!!
oswaldomatu,18328323856165147,https://www.instagram.com/p/DJQDGexshal/,Maaaaa se ve de lujo ❤️
juliolealortiz,18084095758637837,https://www.instagram.com/p/DJQDGexshal/,@oswaldomatu da tu tanda de tacos!
mishell.zunza,17952959783817007,https://www.instagram.com/p/DJQDGexshal/,@alan_m95 🤤🤤🤤
amoyashante,18066318958996450,https://www.instagram.com/p/DJQDGexshal/,🥵🥵
juliolealortiz,17869632285359900,https://www.instagram.com/p/DJQDGexshal/,@amoyashante let’s gooo 🥵😘
ankagoro.2008,18099215557531880,https://www.instagram.com/p/DJQDGexshal/,Ojalá hubiera una aquí en Chiapas
lizandrovega52,18382973179187971,https://www.instagram.com/p/DJQDGexshal/,Invítame rey 😮
toni.ortega.12,18079606126686474,https://www.instagram.com/p/DJQDGexshal/,Eran buenos pero perdieron el toque
francelysalasburgos,18092650558572932,https://www.instagram.com/p/DJQDGexshal/,@toni.ortega.12 si cambio mucho todo
mendez_pkc,17953614908814047,https://www.instagram.com/p/DJQDGexshal/,Uii carne de mono lo  mejor
hoilcem,18039798671631803,https://www.instagram.com/p/DJQDGexshal/,Cuál es el toque chiapaneco
