https://www.instagram.com/p/DJVNEpqsYY_/,hashtags:,#merida,#yucatan,#fyp,#comedia,#humor,#futbol
username,comment_id,text
san_antonio_59,17922168684067622,Me encanta ese humor 👏👏👏👏👏👏👏👏😂😂😂
liga2xl,18065952299301856,@san_antonio_59 gordihumor 😂
rodba___,18000718004717246,Si empiezan a bajar de peso los sacan?
liga2xl,17876973012321276,"@rodba___ nada. Una vez que pasen el pesaje, no importa si bajas de peso durante el torneo, puedes seguir jugando. Y aún  si el siguiente torneo ya no dieran el peso, aún pueden jugar como directores técnicos"
juliolealortiz,18040042634269179,"@rodba___ si, tienen que mantenerse comiendo 😂"
mikelsonoflight,18016611353518197,Como puedo unirme a algún equipo . Se puede jugar aunque tenga poca experiencia?
kikagarduno,18180689083320703,❤️
edificiosmayas,18164145700343741,Chulada 🙌
juliolealortiz,18058926767321995,@edificiosmayas si calificas?
oswaldomatu,17860063566407572,@juliolealortiz maaaa creo que ya doy la talla
edsonstylecancun,18061363235161070,El buen David!
david_rebel267,18002292779611713,@edsonstylecancun hola bro!!! Aquí andamos
yeezu333,18049216412344838,@sfxkdaily vamos 😜
sfxkdaily,18067547456047510,"@yeezu333 vamos pues, a bajar la panza 💋"
cesarchankauil,17848813074461065,😂😂😂😂😂
williamantoniosanchezbarrera,18055418969226945,Jajajaja hay cargar más diles coñ
juliolealortiz,18279528796250936,@williamantoniosanchezbarrera 😂😂😂
jaguarbandero,18013003286550697,Algún equipo?
liga2xl,18094623670579583,@jaguarbandero hola hola ¿qué posición juegas? podrías jugar jueves en la noche o sábado temprano? y lo más importante ¿cuanto mides y cuanto pesas? 🤓
jaguarbandero,18053026958061905,"@liga2xl jueves si sábado no, 175cm 144kg"
parrafloress,18086576935570518,Ahi Los flacos son los porteros
liga2xl,17975741864714709,"@parrafloress los DT son los flacos xD, tenemos porteros enormes"
lizandrovega52,17967338858755866,Jajaja el primer don se parece a ti jaja no es tu viejo? 😂😂
juliolealortiz,18021372278505975,@lizandrovega52 jajajaja es mi cuñado 😂
neftalinun,17879578776318214,"Se ve igual, porque son yucateco los dos!"
mmolina6255,17856803241427777,Puros infartos en espera!  FÓ
vegaullises,18040498991551004,Qué bueno que hagan ejercicio y bajeeeenn de peso
seviche07,18048404015417290,Yo soy pa esa liga pero lastima que vivo en Cancún :(
liga2xl,17869657923279790,@seviche07 aquí siempre tendrás un espacio… siempre que des el peso 🐷
oscarhernandezmorales16,18051427694363447,Quesear es lo de hoy.
jorgoparra,18127848115426174,Tu altura más 25 kilos ? Way eso no se puede jaja
liga2xl,17946881228845904,"@jorgoparra xD por ejemplo, si mides 1.70 serían 70+25=95kg si mides 180 pues 80 +25 =105 😉"
jorgoparra,18311546203230061,@liga2xl  a bueno así si jaja.
yonixcetz,17848446177461445,maaaaa si la armo ne jajaja 105 kg me respaldan a ñeee!
juliolealortiz,18049998272372775,@yonixcetz maaaa! Para el siguiente torneo 🔥
izanami07,18092854462609025,En Cancún también hay 😆 se llama kilos Mortales en Guadalupana
liga2xl,18027361856665546,@izanami07 retaaaaaaaaaaaaaa xD
pato.mar.marcu,17942322497996066,Ya quemaste a mi cuate el Daniel
isidoro.canche,17978788214702904,Partir de cuántos kilos???
borregs_420,18282943546271245,Pig league haha
liga2xl,17979741737697064,@borregs_420 y a nuestros jugadores les decimos Pigs Stars 😎🐷
carlos_muji05,18264072883263347,Yo ya estoy como Maradona y Ronaldo con el cuerpo estrecho pero buen delantero
verim4410,18385549900188373,Soy indio pa comer a’ litas 😂😂😂😂😂😂😂
liga2xl,18034718585647683,@verim4410 quien no lo es? XD
josetwitts,18186500371312761,Se me hace gorda
juliolealortiz,17884822260166587,@josetwitts 🤯
manujunox,18093143500545309,Comer mucho y cagar poco 😂😂
lopezleyditha,18155707918366626,Informes para inscripción a la liga XXL porfa 👍🏻
andyylara,17872381812259005,🤣🤣🤣🤣🤣 comer mucho y 💩💩 poco 🤣🤣🤣🤣
mishelarellano9312,18095103292577391,Ahí apareció Mau cardos jajaja
carolina.sosa.q,17844768957464520,"Todo es risa y risa, hasta que llegan las enfermedades"
giovannaksanova,18075884698675244,Inscríbete @ponchito1977
ramoshumanoide,18067658629957513,Raptor chein
arjonaandy,18012209156725371,Cómo está la vuelta? Y si no tengo equipo?
coachguapeton,18081332449664935,Que PREGUNTA es esa NAKO CHANKLUDO?
josevega4877,18092561839581714,Tenía q ser dani ajajaja dos dedos va caerte
juniormilla_,17985987134671341,Dónde es
nazulmenaagular,18008994494566352,@tripulaciontormenta  patrocinador oficial
