https://www.instagram.com/p/DLDh6XNJg3W/,hashtags:,#fyp,#merida,#yucatan,#caucel
username,comment_id,text
joesantanab,17868379812307823,Tienen que ir a probar el tascalate de @divinocielocafemerida 😍
juliolealortiz,17878101267345241,@joesantanab buenísimo!
amoyashante,17925963269964445,😍😍😍
juliolealortiz,18074694871904238,@amoyashante let’s gooo! ❤
gerryoc,18063384449514773,Maaaa tengo que ir
juliolealortiz,17866880610404158,@gerryoc vamooooos!
josemiguel__rivero,18087496453588172,Muy todo que ver @plazabenedetta31 🤍
juliolealortiz,18081998890798972,@josemiguel__rivero el mejor lugar 😍
_missing_its_,18060201691976444,Juliooo cuandoo sacas el video de la fedd 4 lo ando esperando
juliolealortiz,18086768605731049,@f3rx_4.20 prontooo! Jajaja
simona.rest,17874430092265243,Amamos Plaza Benedetta 31! 🐒
juliolealortiz,18058914320203433,@simona.rest me urge volver a Simona 😍
plazabenedetta31,17986912196824074,Gracias @juliolealortiz los esperamos! 🙌🏽✨
