https://www.instagram.com/p/DLVkhsqplCE/,hashtags:,#fyp,#comedia,#entrevista,#yucatan,#humor
username,comment_id,text
cin_yah,17989760177816538,😂😂 😂.las grandes personalidades siempre en Mérida
juliolealortiz,18307751224246549,@cin_yah si 😂🙌🏽
leoyosef76,18087500581676716,Siempre me sorprendes Julito 😍
juliolealortiz,17987432891826242,@leoyosef76 abrazote!
nadiaxina,17907086511187430,Besos al maestro roshi
monsrealperegrina,18051416804609272,es el papá de radamés ... El de guerra de chistes jajaja
juliolealortiz,18069902291007738,@monsrealperegrina 😂😂
albertiuxnava,18018169670742131,@monsrealperegrina 😂😮😮😮 NETA!!!
ldosuna,18069985526055952,"Wey, tengo que ir a Mérida. Neta que buena vibra de gente los Yucatecos ❤️"
juliolealortiz,18055074602374543,@ldosuna 😎🙏🏽
inviernofunk,18069193502316031,Jajaja te amo pinshi Jules 👏👏👏
juliolealortiz,17927396615960859,@inviernofunk jaja abrazote!!
san_antonio_59,17957682734960388,Chaolin 😂😂😂😂😂
mayte.osorio14,18057838994200147,😂😂😂
juliolealortiz,17970991061879058,@mayte.osorio14 😂
frank_yama,18063417077270004,Abellllll
albertiuxnava,17938272039032420,Kame Kame haaaaa... 🔥🔥 Imaginate a la @totifruttt y a @vickywolff haciendo pendejadas con el Don... 😂😂😂 Sería un 🌋
geo._dl1,18083206993759782,A su papá no le decían balás ?? Estaba en el sindicato de carretilleros ??
razielpalma__,18071460254483342,
juliolealortiz,18078768031700930,@razielpalma__ 😂🙏🏽
