https://www.instagram.com/p/DM6KldpAPiY/,hashtags:,#fyp,#entrevista,#yucatan,#humor,#comedia
username,comment_id,text
china_yam523,18521093104044129,Jajaja 🤣❤️❤️
san_antonio_59,18080461960913479,😂😂😂😂😂excelente
juliolealortiz,18014595908772139,@san_antonio_59 tu que es lo más grande? 😂🙏🏽
seraphine_del__alba_,18054614999143926,Es acento yucateco xD?
mmeeri.s,18168554614361690,Para comer?🗣️
juliolealortiz,18140868070416976,@mmeeri.s 😂
rcarballo.m,18120339583434599,😂😂😂
juliolealortiz,18077245996941671,@rcarballo.m 😂🙏🏽
juancarlosdominguezbacilio,18066923812934471,😂😂😂😂😂😂😂😂😂😂😂😂
ah_he_5791,17881636644244036,Que es sancochado??
hudsonmarck,18060601388370768,@ah_he_5791 cocinado/hervido
ah_he_5791,18058734599074842,@hudsonmarck 👍
zahnmrg,17967107861941601,UNA TOOORTAETAMAL 🗣🗣🗣
juliolealortiz,18096239752619610,@zahnmrg 😂😂😂
imnameval,18494411428067198,@bastiaanito Jajajajja lo de tu torta de tamal fue lo mas iconico
sabstiaanakz,18032460785690676,@imnameval YA SUPERENLO 😭
imnameval,17886814455337389,@bastiaanito NUNCA AJAJJAJAJAHAJAJAH
