https://www.instagram.com/p/DM8rFv0JQGa/,hashtags:,#merida,#yucatan,#oxxo,#andatti,#fyp
username,comment_id,text
joesantanab,18089909602783493,"Buenas promociones, quiero mi vaso"
juliolealortiz,18075765661781499,@joesantanab vamoooooos! Mañana 🤘🏽
san_antonio_59,18288021406252859,Se antoja 😍😍😍😍👏👏👏👏👏👏👏👏
juliolealortiz,18011012102716576,@san_antonio_59 buenísimo!
gerryoc,18082598089803300,La neta si estan bien chidos los andattis 👏
juliolealortiz,18051441188574649,@gerryoc viernes llevo 2 a la casa!
leoyosef76,17863613862443108,Oxxo revolución? Dónde está? Para que vaya por mi promoción
juliolealortiz,18066634097467661,@leoyosef76 en frente a Plaza The Harbor 😎🙌🏽
eldanniedarko,18086198653792041,Todos sabemos que se antoja una wama bien helodia jajajajaja
juliolealortiz,18425043415103474,@eldanniedarko y un andatti? Jajajaj
teisters_,18517889083060730,Con este calorón como no antojarse de un andatti del Oxxo 🤤
ericksixto,18312804433240512,👏👏👏
juliolealortiz,18142273531405686,@ericksixto 😍
oswaldomatu,18103664917563798,Mi Fav
juliolealortiz,17919532500121196,@oswaldomatu REAL!!
vitodisena,17964186980943089,"Creo que el otro día te vi en la 58 buscando un OXXO, te pedí una foto y me dijiste que cobrabas $100 por foto, te dije que yo solo traía un pan y me lo aceptaste, eres un crack"
juliolealortiz,18050455547211945,@vitodisena 😎😎😎🫶🏼🫶🏼🫶🏼🫶🏼
