https://www.instagram.com/p/DOZQ9K-kSY9/,hashtags:,#EncuentroDeComitésCB,#TuPoderDeConectar,#CompartamosBanco,#Yucatán,#Mérida,#Publicidad
username,comment_id,text
memorodriguez33,18093296923793637,Una barbería 💈
lumm_258,17855226795526772,Yo ya tengo un pequeño negocio y me vendría bien un impulso para este cierre de año!! Corro a revisar 🏃‍♀️
juliolealortiz,18072294206134997,@lumm_258 esooo!!👏
compartamosbancomx,17890262223204546,"¡Qué emoción leerlo, @lumm_258! 🙌 Conoce mas sobre nuestros Créditos en nuestro perfil y solicítalo en el link nuestra bio. ✨"
san_antonio_59,17961068465830408,Se necesitan capital julio🙌🙌🙌🙌
juliolealortiz,18108039085559750,@san_antonio_59 mucha amigo!
joesantanab,18096135547646329,@compartamosbancomx  denle su lanita a Jackson para que ponga si restaurante
juliolealortiz,17850147306512267,@joesantanab 😮‍💨😮‍💨
compartamosbancomx,18087932122849493,"¡Hola, @joesantanab! 🤗 Nos encanta ver cómo surgen ideas tan inspiradoras. 🙌 En Compartamos Banco creemos en impulsar los sueños y los negocios que transforman vidas. Si él sueña con abrir su restaurante, puede conocer más sobre nuestros Créditos dando clic en el link de nuestra bio. 🤗"
haarpao,17878979226281885,Buenísimo!
juliolealortiz,18092146585739358,👏👏
compartamosbancomx,18070455658907665,"¡Nos alegra que te guste! 💖 Si quieres dar ese impulso, puedes conocer y solicitar nuestros Créditos en el link de nuestra bio. 🥰"
loli_herrera4,18071189801233916,El mejor Banco
isaiasmateopascual,18120423223504376,No es conveniente XK al final tienes q pagar renta del crédito debería aver crédito q no pagues renta solo devolver el dinero
carlahb_,17969301797795405,"A ese señor siempre lo entrevistan, es el del pato Lucas jajajaja"
