https://www.instagram.com/p/DPcbqGBDdQF/,hashtags:,#merida,#yucatan,#fyp,#humor
username,comment_id,text
andres_arnuero,17909118078145262,Cómo te topas al maestro Rosho yo fui y no me lo topé
santiagoalferez37,18083939573038497,Todo un poeta el maestro Roshi
jessicadacostadantas,18148873660439285,La lonchera de Mario😍
eldanniedarko,18082488409778132,👏👏👏👏👏👏
juliolealortiz,18105329251589500,@eldanniedarko 🫶🏼
san_antonio_59,17899602816289771,👏👏👏👏👏👏👏
super.m2a,18038068964491103,
juliolealortiz,18078244195843458,@super.m2a 😂🙌
rodolforudylopez,17868883032520617,Están chingones
lucca_chop,17982059903877542,
astrid_canto.103,18419349970105430,"Una bañadita, caparazón de tortuga y pa' mi novio"
pither__drumer,18131018500484917,@astrid_canto.103 😂😂😂
alejandro8060,17946589268916825,Jajaja los primeros se parecen a los ratoncitos de Speedy González
jorgecardenasgomez01,18319204642220787,Q precios manejan padrino 😅
superjorge99,17857306023535645,En qué Dirección se ubican exactamente???
__hugod_,18284171686287922,Tan chidos 👟
juliolealortiz,18528039784036911,"@_huguion_ cuando vuelvas, te regalo los que te gusten 🫶🏼"
__hugod_,18059093318401131,@juliolealortiz 😮 que chido !!! Apoyemos las marcas mexicanas 👊🇲🇽
juliolealortiz,18115285603535444,@_huguion_ esoooo!!
