https://www.instagram.com/p/DQFvwqvjZSz/,hashtags:,#humor,#yucatan,#comedia,#simpsons
username,comment_id,text
alejandrosolis16,17956859961007275,Yo quiero traer la cartera como el don de la playera amarilla 😢
juliolealortiz,18319591897244241,@alejandrosolis16 yo igual 😂
day_alaniz,18348151951203854,No me gusta que se ría de las respuestas así enfrente de las personas que responden 😢
saul27686,18090504053494924,@day_alaniz si no le gusta no lo vea señora
f.r.muz,17906641104123745,Tío Bartolini😂😂😂
andreee_estrada,18002751629821450,En Mérida no hay televisión o servicio de cable ?😢😢
dennis_az77,18168118984373418,@andreee_estrada nunca fui fan de los Simpson.
edubricenio,17987628953898126,@andreee_estrada dime quién mierda va a ver los Simpson teniendo más de 60 años ? Apoco tu abuela lo ve
andreee_estrada,18096761344740002,@edubricenio te lo puedo comprobar sin problemas esos nombres tío Bartolin jaaj
san_antonio_59,18076221427927060,😂😂😂😂😂😂😂👍👍👍👍
magobracco,18531987010047512,A huevo que es Pedro y no Bart 😂
evelyncastillox2,18363196984082740,😂😂😂
kevin_soad,18072567563203620,Doblajes de España:
_santiago__villanueva,18141846934448323,Jajaja nunca me gustó los Simpson
ernesto.garcia.ro,17905964703126696,Nmms Renato jajajaja
vivian_ccuevasc,18075345164466935,El señor Benz
avv.kevv,17877121077425468,Filomena Simpson y Caracol el payaso jajaja
matiramirezb,18427022914129453,El señor benz y benz Junior
christopherceballos1124,17911122417252077,Genato 😂
guiocerv,18088129495937435,Habia un doblaje solo para yucatan ?  Estaria muy cagado
ivelicemino,18093147214639916,Ya pero gggguuueeeenato
omnva,17856539811605214,Carlos Salinas de Gortari 🤣🤣🤣
angel_sanchez963,17965281908974240,Filomena jaja
dra_yerileys,18178394011352039,Greeeeenaaaato 😂😂😂😂
dannykrrillo87,17856918195597139,El payaso grrrrrrrrreeeeeenato jajajajajaja
morgan17140,18362891275093929,A kbron el primer señor de playera amarilla hasta parece IA jaja bien random
zavala_ale08,18122383447539798,Falta de cultura 🙄😠😒
victormm151,17993142218752507,No mamennnnnnn
damm.aldana,18042499841467571,Los yucatecos son bien chistosos 😂
cristophernoe85,18102007261634870,Deja de reírte como idiota
