https://www.instagram.com/p/DQNj6lpDY__/,hashtags:,#fyp,#merida,#yucatan,#humor,#entrevista
username,comment_id,text
a_bel616,18376770394198216,Yucatán es otro servidor aparte de Roblox
__.memoortiz.__,18171492970371011,@a_bel616 te mamaste hahahahahahah
nefastofelesss,18384400903183995,@a_bel616 hasta tienen la cabeza cuadrada como en Roblox
samadhieye,17863675692487280,@a_bel616 😂👏
mario_ramos_1218,17935313748096639,@a_bel616 roblox el mundo donde viven los woke
pawbie_2paw,18140833531442924,@munguia.art
m.jarocho,18099263779665550,"@a_bel616 yo viví un año en Yucatán y no se que es más subrreal, si la CDMX o Yucatán"
im_manuelr07,18189744112333144,@a_bel616 PUYUPOC 🫩
brendamorteo,17906863659123282,@a_bel616 😂😂😂😂😂
eduardoduran_,17995427243841687,"Cuando sea millonario, me voy a comprar un yucateco"
mielmirandalomas,17917426110083624,@eduardoduran_ 😂
dannycuellar05,18070191230029423,😂😂😂
n_conrado,17882912082401155,@eduardoduran_ HAAHHAHAAH x2
ricardodlpr,18080938343103447,@eduardoduran_ Dos cosas que nunca te van a pasar
denicevaargas,18119068399520673,@eduardoduran_ es Maya pelana
nu_lady_warrior,17963282108841164,@eduardoduran_ 😂jaja
osmii7,17970971786957160,@eduardoduran_ 😂😂😂😂😂😂😂😂
abiud_r,17966694488824008,@eduardoduran_ jsjsjs no te mms jsjsj
ale_yail,18056602514267757,@eduardoduran_ lo recomiendo yo ya tengo la mía!! @ju1s0 tq
_alejandro_arau,18081060092090762,no mames que venden mandarinas peladas
cris.lrz,18057999140541683,@_alejandro_arau jajajaajajajaja
grabrielofo,18091514338879967,@_alejandro_arau jajajajajajajajjaa Yucatán es otrooooo pedoooo!
emixd225,17913660588210612,@_alejandro_arau si we xdd
yaza_reth.xdd,18065448392097315,@_alejandro_arau también toronjas
florchuzruiz,17854660923506157,@_alejandro_arau venía por este comentario 😂
sorensic.aelilag,18054872294299242,"@_alejandro_arau wtff, nomás falta que las envolsen una por una"
_adnanreffff,18083457800482118,@_alejandro_arau hahahahahahah
ae.spiral,17860024653531235,@_alejandro_arau jajaj algunos dirías que por allá te la pelan xd
alanu_mauri,18091514764854751,@_alejandro_arau deme 2 kg porfa
nemesis.dragon,18084611671969904,Que tienen los yucatecos en contra de los quesos ? 🤣
klaudiab71,18060409469552810,@nemesis.dragon parese ser el aroma de por ahi
arleth_cristi,18032510483738397,@nemesis.dragon Es que el queso en Yucatán representa la parte íntima de la mujer AJSJSJAJ
rxt_nath,18091632035481309,@nemesis.dragon jajjajaja🤣🤣🤣
caballero_carlos125,17925889500119004,"Tremenda técnica del Maestro Roshi, Makachí peeekkk!! 🔥"
juliolealortiz,18101471101724300,😂😂
silviarcb,17842004616609333,@j12r
marguardadot,17921583342176017,Vine por este comentario 😂😂😍
axlbc20,18410738449137857,Si es ❤️🐢🐢🐢
rafa_perez3110,18388296787120639,Es el comentario que estaba buscando jajaja
baeza_chuch,18064669862426714,Es el kame hame has versión yucateca 😂
sandilovecraft,18177439561354747,Cállate prro 🗣️🗣️🗣️😂
stefaholicc,18082247387006389,@marguardadot Jajajaj x2
nir.va.n2,18381560083198333,"Imagínate ser una persona hablante de otro idioma, estudiar mucho tiempo español y por fin venir a practicarlo a México… y te reciben así jajajaj"
gstv.brera616,18111713875572980,"@nir.va.n2 el detalle es que en yucatan no solo hablan español, mucha gente habla maya y otras lenguas, de allí vienen muchas palabras"
soto_shany,17887813092379245,@gstv.brera616 𝐞𝐬𝐨 𝐥𝐨 𝐬𝐞́ 𝐲𝐨 𝐬𝐞 𝐦𝐮𝐜𝐡𝐚𝐬 𝐥𝐞𝐧𝐠𝐮𝐚𝐬 𝐲 𝐬𝐞 𝐞𝐬𝐚𝐬 𝐜𝐨𝐬𝐚𝐬
soto_shany,18362730265086150,@gstv.brera616 𝐜𝐨𝐦𝐨 𝐏𝐞𝐫𝐮́ 𝐭𝐚𝐦𝐛𝐢𝐞́𝐧 𝐡𝐚𝐛𝐥𝐚𝐧 𝐪𝐮𝐞𝐜𝐡𝐮𝐚
h0ja_en_blanc0,17993503613839314,@soto_shany Y tú qué.
h0ja_en_blanc0,18010605665796148,"@nir.va.n2 Pero no estan hablando españoooool 😂 es maya creo. 
Suenan chido"
