https://www.instagram.com/p/DQX7bY_jSnl/,hashtags:,#fyp,#merida,#yucatan,#humor,#comedia
username,comment_id,text
virbries,17856463401551142,La que dice heshiiizooo es de chihuahua 😂
san_antonio_59,18072583688257712,😂😂😂😂😂😂😂😂
ferc420_,17934928524099271,"De que te vas a ""disfasar"" ? 😂😂 Te reto a que digas Ferrocarril"
younglah__,18103498894620568,A suuuuu!🗣️
yohwih,18364776436085403,Originales 😂😂😂 adiós Chuky pásala bien 😂😂😂😂😂😂
shantal_243,17898122178322293,De choki jajajaja
vasjim_d,17848171977566697,@shantal_243  ñañañaña 🔪🔪
montsegaarciaa,18084946168947092,Ña ña ña ñaaa 🔪🔪🔪
finjo_estar_bien,17866437723416918,
joseuicab8617,18064171922128169,Jalawict
