https://www.instagram.com/p/DRAr9XwEa7p/,hashtags:,#merida,#yucatan,#fyp,#recomendacion
username,comment_id,text
p_a_b__l__o,17930185461115983,Amo sus chilaquiles 😍
juliolealortiz,18086379304799527,@p_a_b__l__o están BRUTALES!
lasenchiladasmid,18058105466546912,@p_a_b__l__o 💕💕✨
lasenchiladasmid,18069372158576671,Amamos 😍🔥
pechvstheworld,17977985843936429,gpi 😮‍💨😮‍💨
juliolealortiz,18056463050303908,@pechvstheworld vamos amigo!
maria_cetina_,18068806634602951,"Amooo, desde que los descubrí solo de ahí pido enchiladas 🤤"
lupemb,17916342786229461,Ese lugar ya está súper funado por antihigiénico y mal pagar a los empleados. Muchos años pedía cada semana pero su calidad bajó muchísimo.
dzulmendoza,18046886933695419,Alguien me puede poner cómo buscarlas ? O así como enchiladas centro?
lescasanovat,18077365088269955,Los mejores chilaquiles 😍😍
alejandrostarcevicd,18084958303967505,@eberthkantun
makingcanada11,18110329885607498,Looks super healthy
