hashtags:,#Peregrina,#AlmaReed,#HistoriaDeAmor,#Romance,#FelipeCarrilloPuerto,#HistoriaYucatán,#Historia,#Cultura,#Comedia,#Mérida,#Motul,#Yucatán
post_url,username,comment_id,comment_text
ceciliadominguez_photographer,18065718289846478,https://www.instagram.com/p/DFI25UVRQHK/,"Estan muy simpáticas, pero van tan rápido 🙃que no les entendí si el hombre estaba casado y con familia?"
licaibarmea,18083155420595991,https://www.instagram.com/p/DFI25UVRQHK/,"@ceciliadominguez_photographer si, me paso también, y asumí que mis oídos escucharon correctamente, y tu comentario me lo confirmó 😉"
rogermendez7,18054516806300107,https://www.instagram.com/p/DFI25UVRQHK/,JAJAJAJAJAJAJQJQJQJAJJAJAJAJAJAJAJA
zaaahita,18048975116175374,https://www.instagram.com/p/DFI25UVRQHK/,"Awwww amé! Cuenten más historias, anécdotas y leyendas así!!! ❤️🔥❤️"
lupitaalpucherodri,18018679094456111,https://www.instagram.com/p/DFI25UVRQHK/,Que belleza 🙌❤️❤️
lasmacucasoficial,17864617176244359,https://www.instagram.com/p/DFI25UVRQHK/,"@lupitaalpucherodri ¡Gracias, Lupita! 🙏 Tus tías Cuca y Maruca te mandamos muchas bendiciones. 💕✨"
mariamedellin,17902396473098477,https://www.instagram.com/p/DFI25UVRQHK/,"Me encanta su acento!! Y su contenido, por supuesto"
lasmacucasoficial,18132474817378176,https://www.instagram.com/p/DFI25UVRQHK/,"@mariamedellin ¡Nos da muchísimo gusto saber que te encantó nuestro contenido! 🥰🙏 Gracias por tu comentario, nos motiva muchísimo a seguir creando más. 💫✨"
eduardosangall,18029422286542271,https://www.instagram.com/p/DFI25UVRQHK/,Maravillosa anécdota de Yucatán ❤️ las amo!
lasmacucasoficial,18299635951231593,https://www.instagram.com/p/DFI25UVRQHK/,"@eduardosangall gracias hijo, te mandamos muchas bendiciones ✨🙏🏼💐"
