hashtags:,#QuintaMontesMolina,#Mérida,#HistoriaViva,#CulturaYTradición,#LasMacucas,#PaseoDeMontejo,#MeridaEsCultura
post_url,username,comment_id,comment_text
gaby_na76,18015424325512593,https://www.instagram.com/p/DH58KHlAdOh/,"Que bellezaaaaaa! De casa , y aún más la explicación tan detallada!
Gracias Tías !"
silbirrichaga,17868869025346676,https://www.instagram.com/p/DH58KHlAdOh/,Increíble ❤️🙌
gracielaarredondo43,18008815046725083,https://www.instagram.com/p/DH58KHlAdOh/,Les felicito. Ojalá hicieran la historia de la Quinta Chapultepec casa hoy los almendros. Yo viví 7 años en la Quinta chapultepec
lasmacucasoficial,18082342744634789,https://www.instagram.com/p/DH58KHlAdOh/,@gracielaarredondo43 estaría padrísimo pero entiendo que no es una residencia privada no creo que quieran que entremos
chaparro_elizabeth,17957999765916219,https://www.instagram.com/p/DH58KHlAdOh/,Que belleza de casa.
eduardosangall,18098210071531788,https://www.instagram.com/p/DH58KHlAdOh/,Mejor explicación no hay! Me encantan
lasmacucasoficial,18022643855665627,https://www.instagram.com/p/DH58KHlAdOh/,@eduardosangall muchas grazkas eduardo ya extrañábamos tus comentarios ❤️🫶🏼🌺🌷🌸🌹
huayoming,18102161971505797,https://www.instagram.com/p/DH58KHlAdOh/,😂😂😂 su amiga cucurumbé 😂😂😂
beatrizesquivelgracida,18021699395690386,https://www.instagram.com/p/DH58KHlAdOh/,Gracias Tias
noemipeon,18058257389281836,https://www.instagram.com/p/DH58KHlAdOh/,Que tías tan entretenidas...
damomo76,18148221787370053,https://www.instagram.com/p/DH58KHlAdOh/,Chulada
raulherreram,18051608615194094,https://www.instagram.com/p/DH58KHlAdOh/,"😍😍😍divina , preciosa lo que le sigue"
lasmacucasoficial,18296223649175403,https://www.instagram.com/p/DH58KHlAdOh/,"@raulherreram muchas gracias Raúl, te mando un saludo afectuoso"
georginafarinaisla,18220502104293216,https://www.instagram.com/p/DH58KHlAdOh/,"Ay Tías, me encanta seguirlas, es un verdadero deleite conocer la historia de todas estas casas, y la manera tan detalladamente descriptiva y el contenido de excelentemente bien documentado, con la que narran estas maravillosas obras de arte y reliquias al mismo tiempo, muchas gracias! Con mucho cariño, su nueva sobrina, Geor Fariña."
lasmacucasoficial,18091888780559641,https://www.instagram.com/p/DH58KHlAdOh/,@georginafarinaisla ay hija nosotras felices de tener una sobrina más en nuestro corazón ❤️🤗🥰🌹
maria.constantinotrejo,18060168740178100,https://www.instagram.com/p/DH58KHlAdOh/,Gracias 👏🙌
ana.vargas.r,18057170483133824,https://www.instagram.com/p/DH58KHlAdOh/,Me encantan sus cápsulas!! Felicidades 🎉
miguelfritz,18026966582418635,https://www.instagram.com/p/DH58KHlAdOh/,Yo también quiero a mis tías las macucas ❤️
lasmacucasoficial,17966094599745105,https://www.instagram.com/p/DH58KHlAdOh/,@miguelfritz y nosotros a ti sobrino consentido
killer_quake,17921786793052790,https://www.instagram.com/p/DH58KHlAdOh/,Increíble recorrido tías
rodrosolis,18063008213049205,https://www.instagram.com/p/DH58KHlAdOh/,🔥🔥🔥
ilecami66,18042374234576974,https://www.instagram.com/p/DH58KHlAdOh/,"Que hermosa casa , y súper detallada la explicación"
lasmacucasoficial,17876551578297521,https://www.instagram.com/p/DH58KHlAdOh/,@ilecami66 ❤❤❤❤ que bueno que te gustó
majomajocg,17852093883424799,https://www.instagram.com/p/DH58KHlAdOh/,Muy interesante tias
gorordo64,18496111282014747,https://www.instagram.com/p/DH58KHlAdOh/,"Está hermosa, la visité hace un ańo y planeo hacerlo de nuevo"
isaespejor,18036905072280407,https://www.instagram.com/p/DH58KHlAdOh/,"Las amo, sus cápsulas son lo más máximo !! 👏👏👏"
chrys_mrlt,17960970296873739,https://www.instagram.com/p/DH58KHlAdOh/,"Que belleza!!! Es majestuosa, gracias tías por el hermoso tour ❤️"
mariajosediaz00,17961998993912923,https://www.instagram.com/p/DH58KHlAdOh/,Me@encanta lo que hacen tias Macucas 👏🏼👏🏼👏🏼👏🏼
fe_ricalde,18056672363141776,https://www.instagram.com/p/DH58KHlAdOh/,El ajedrez de españoles contra aztecas 😂
ali_sol05,18071885887895266,https://www.instagram.com/p/DH58KHlAdOh/,"La casa ya la viste dos veces, me encanta, siempre veo más detalles, amo los videos de ustedes. 😍"
terealvarezzz,18047094095364966,https://www.instagram.com/p/DH58KHlAdOh/,"Excelente explicación!!!,.. woww y que detalles con nombres y apellidos de sus descripciones, mis respetos!!,.. las núm 1 ,..👏🏼👏🏼👏🏼"
fierarodriguez,17985267668800621,https://www.instagram.com/p/DH58KHlAdOh/,@tereasencioo ❤️❤️❤️❤️
fierarodriguez,18016811084700501,https://www.instagram.com/p/DH58KHlAdOh/,El talco maja no podía faltar
medinamercenario,18108363769488959,https://www.instagram.com/p/DH58KHlAdOh/,👏👏👏👏😍
itaalex17,18061866116291088,https://www.instagram.com/p/DH58KHlAdOh/,De las mejores explicaciones sobre la quinta montes molina que visto hasta ahora 👏👏👏👏 saludos Tías @lasmacucasoficial
lasmacucasoficial,18080494843661671,https://www.instagram.com/p/DH58KHlAdOh/,"@itaalex17 tu comentario fue un abrazo al corazón, gracias"
analiegomez,18175201615319846,https://www.instagram.com/p/DH58KHlAdOh/,"Tías, ustedes son la onda. Me encantan sus cápsulas.👏👏👏👏"
el_blog_de_pamy,18496334875023180,https://www.instagram.com/p/DH58KHlAdOh/,Me encanta la historia de esta casa tan divina! Y qué bonito explican todo!! 👏🏻👏🏻👏🏻👏🏻
lasmacucasoficial,18061236239000806,https://www.instagram.com/p/DH58KHlAdOh/,@el_blog_de_pamy 🥰🥰🥰🥰 gracias
