hashtags:,#EscuelaDeManejoDelSureste,#ManejaBien.Com,#LicenciaDeDios
post_url,username,comment_id,comment_text
killer_quake,18004060868797028,https://www.instagram.com/p/DNwDeL-Yp2w/,"Tías son sencillamente las mejores, no he parado de reír 😂 😂"
norma.mendez.7568,18076541905820523,https://www.instagram.com/p/DNwDeL-Yp2w/,"Iré ahí para que me ayuden a sacar mi licencia, siempre me reprueban en el examen práctico 😂"
lasmacucasoficial,18109789117547450,https://www.instagram.com/p/DNwDeL-Yp2w/,"@norma.mendez.7568 te entiendo hija yo igual me pongo muy nerviosa lo bueno es que la escuela @manejabien te da tu certificado y ya es solo ir por tu licencia, gloria a Dios!"
andreareygo,18201742585310200,https://www.instagram.com/p/DNwDeL-Yp2w/,JAJAJAJA amooooo
gracielaestradapinto,18024023222718060,https://www.instagram.com/p/DNwDeL-Yp2w/,Acabo de inscribir a mi hijo allá !!! 👏👏👏
lasmacucasoficial,18070038602142302,https://www.instagram.com/p/DNwDeL-Yp2w/,@gracielaestradapinto 👏🏼👏🏼👏🏼👏🏼
veritobarroso,18092923633668405,https://www.instagram.com/p/DNwDeL-Yp2w/,Jajajajaj cualquier parecido con la realidad 😜🫣😘
thebossllerina,17857618341483702,https://www.instagram.com/p/DNwDeL-Yp2w/,Jajajajaja me encantó
thebossllerina,18416633878111989,https://www.instagram.com/p/DNwDeL-Yp2w/,Jajajajaja ❤️😍 amo
morenazogram,18063569807463909,https://www.instagram.com/p/DNwDeL-Yp2w/,🙌🙌
vivian_ortegon_camara,18286628041255710,https://www.instagram.com/p/DNwDeL-Yp2w/,❤️❤️❤️❤️
quiquesauri,18037803353454782,https://www.instagram.com/p/DNwDeL-Yp2w/,Cuca! Clarooo que tu manejas con la licencia de Dios!
eduardosangall,18135622783439093,https://www.instagram.com/p/DNwDeL-Yp2w/,Jajajaja ame las clases de manejo…. Aunque para la próxima no deje que José Asterio se junte tantas vacaciones….
rodrosolis,18095829835627876,https://www.instagram.com/p/DNwDeL-Yp2w/,Jajaja me van matar de risa un día 👏👏
manejabien,17922665238136854,https://www.instagram.com/p/DNwDeL-Yp2w/,una alumna fuera de serie tía!!
lasmacucasoficial,18058965875371629,https://www.instagram.com/p/DNwDeL-Yp2w/,@manejabien estuvo cheverisimo
michellgriffinponce,18095446696727099,https://www.instagram.com/p/DNwDeL-Yp2w/,"@michellgriffin mira, ahí para terminar de aprender a manejar, si las tías macucas pudieron tu también verdad @fierarodriguez 😊"
fierarodriguez,18528151672009758,https://www.instagram.com/p/DNwDeL-Yp2w/,😂😂😂
