https://www.instagram.com/p/DPW7bEPEU72/,hashtags:,#HeraTemozón,#Initio,#Oportuna,#Temozón
username,comment_id,text
killer_quake,17968168286796816,"Jajaja que buena historia tía, me mataron de risa 😂😂😂"
guillertorres,17971431017793495,Me gustó el rooftop para jugar lotería y tomarne mi jaibolito.
lasmacucasoficial,18066039428584341,@guillertorres Vera que si? Está chulísimo
turri85,18077152574030501,Si quiero visitar la casa uds dan el tour?
initiomx,18061389221385919,"@turri85 buen día, nosotros te podemos dar el tour y con probabilidades de encontrarnos a las macucas.🙊"
salmacis_undies,18296906959267740,"Tías, regalenme una!"
lasmacucasoficial,17987545217851344,"@gabrielamodayturismo hija tampoco somos botarate, si le estoy regalando una a mi nene es por su boda (y para que mi nuera me deje ayudarla en la planificación)"
shasmin_tello,17927615244102970,😍
irmagsanchez,18405680299142616,👏👏
rodrosolis,18000914951815915,😂😂😂
lasmacucasoficial,18158604331376534,@rodrosolis 😘😘😘
marvin_mf90,18308042179217088,😂😂😂
kubiinflu,17996062955710318,Rayado el recién nacido de 42 años 🫣
lasmacucasoficial,18080979697823120,@kubiinflu es mi xtup además lo estoy haciendo por que necesito que mi nuera me dé más mesas en la boda
shad_xiuhtonalli,18343966123163669,"Jajajjajaja, Tarzán y Jane"
lasmacucasoficial,18072898598182026,@shad_xiuhtonalli seguro me dan un nieto!
majomajocg,18341835337206230,"Mare mare, que me adopte Macuca quiero ser su hija"
lasmacucasoficial,17854534587491858,@majomajocg eres como mi hija y la dermatóloga de cabecera de maruquita clarooo
