https://www.instagram.com/p/DSf3GAakTSo/,hashtags:,#Mérida,#AyuntamientoDeMérida,#PalacioMunicipal,#RelojDeLaCiudad
username,comment_id,text
gracielaestradapinto,18066837251567644,Ay qué bonito !!! Yo trabajo en el ayuntamiento y no sabía eso. Que bueno que Kaliman las acompañó!!!!
lasmacucasoficial,18104316613664569,@gracielaestradapinto es un encanto kaliman re chulo y bien portado
quiquesauri,18166600366380377,Mare que buenos datos! Que chévere que nuestras campanas son como las de esos lugares! Mérida no merece menos! Clarooo!  Se ve que está súper bien conservado y con mantenimiento al punto!
lasmacucasoficial,18087040070041084,@quiquesauri así es hijo!
killer_quake,18101944747750018,"Cada día están mejores sus vídeos tías, son las mejores 🙌🙌"
andresordy,18101955181701439,Mis tías aventureras!!!🤩🔥
lasmacucasoficial,18086455352512388,@andresordy comprometidas con el contenido hijo pusimos pequeños efectos en lo que aparecía inspiradas en tu contenido
ceciliapatronl,17928808551180324,🙌🙌🙌
lasmacucasoficial,18546775345001676,"@ceciliapatronl woooow que honor, saludos alcaldesa!"
salmacis_undies,18069814025575943,Que tal? Han hecho hasta lo imposible rescatando la historia de Yucatan!
rodrosolis,18086111975166267,Increíble el vídeo y tremendos datazos 👏👏
aloal777,18095243651494815,Huuuay que horror me huixo por vertigo
ruby.maldonadosalazar,18058858634315918,👏👏👏👏
antoniio_albornoz,18343629874224793,"Way tías, no les dio vértigo??"
lasmacucasoficial,18086486579286580,"@antoniio_albornoz si me puse muy nerviosa, pero estamos comprometidas con el contenido hijo"
juanjosegarcia_,18076733987195976,El Maestro Relojero Don Felipe Alcocer 👏👏👏
pildoritadelafelicidad,17894127150376381,👏👏👏👏
aragon_jpg,18012067403812299,😍😍😍
