hashtags:,#lenguamaya,#yosoycreador
post_url,username,comment_id,comment_text
rubisanchez408,17877631808294770,https://www.instagram.com/p/CO39nswh7VH/,Que bueno Santos me da mucho gusto y te deceo lo mejor en todo lo q te propongas te mando muchas bendiciones ❤️
crissm420,17928038983552088,https://www.instagram.com/p/CO39nswh7VH/,"Muchas felicidades, éxito y bendiciones 🙌❤️"
amalia.salazar.73157,17978847607373014,https://www.instagram.com/p/CO39nswh7VH/,🙌
tatnahi26,17942130217493264,https://www.instagram.com/p/CO39nswh7VH/,Felicidades 👏
lorelouisef,18216418789065732,https://www.instagram.com/p/CO39nswh7VH/,👏 felicidades ....échale ganas .....👌🏻
num1carlosarandia,18224751313031775,https://www.instagram.com/p/CO39nswh7VH/,"Felicidades, éxitos y bendiciones"
quaaaaasimodo,17869247303390116,https://www.instagram.com/p/CO39nswh7VH/,¡Mucho éxito!👏👏👏
libdemojeda,17875477910381631,https://www.instagram.com/p/CO39nswh7VH/,👏👏👏👏
anelchavez53,17981745904369423,https://www.instagram.com/p/CO39nswh7VH/,Felicidades Santos 👏
carlatraconis,17917682119671699,https://www.instagram.com/p/CO39nswh7VH/,CON TODOOOOO🙌🙌🙌🔥🔥🔥❤️❤️❤️
danyisra02,17882138021325998,https://www.instagram.com/p/CO39nswh7VH/,Que chidoooo 🙌
gabrielainurreta,17895606032067749,https://www.instagram.com/p/CO39nswh7VH/,Felicidades!!🔥
moniquiux_ap,17886430526231909,https://www.instagram.com/p/CO39nswh7VH/,Felicidades !! 🎈
elrazikid,17890996547136247,https://www.instagram.com/p/CO39nswh7VH/,Felicidades hermano👏🔥
_migue_ar,17875396094380602,https://www.instagram.com/p/CO39nswh7VH/,"En horabuena Santos,que sigan  los éxitos 🙌 un abrazo."
santos_tuz,17898452527911825,https://www.instagram.com/p/CO39nswh7VH/,"@_migue_ar muchas gracias bro, un abrazo🥳"
