https://www.instagram.com/p/CSDelzmA9R8/,hashtags:,#toretto,#familia,#lenguamaya
username,comment_id,text
tatnahi26,18008402878329700,😂 muy bueno
angiepm_520,17886745085482788,Jajaja. Video creativo
froylansosa,17883868847388527,Y esposa o esposo?
jc_inland_belize_tours,17924908738700529,Maalob Kaantabaj
dalia0209_,18240904282040618,😂
lorelouisef,18102202624251317,@santos_tuz 😍handsome ❤️
santos_tuz,18193629898104339,@rosatec016 🙌🏽🥳🥳🤩
anelchavez53,17910583744886216,"Jajaja eres bien simpático...vas a ser buen maestro, nadie se aburrirá en tus clases 😍"
santos_tuz,17954587939468600,@anelchavez53 MUCHAS GRACIAAAAS🤩🤩
renatavzqq,17882244104440148,Tego Calderón 🔥🔥
santos_tuz,17881480235510164,@renatitak 🥳🙌🏽🙌🏽
lagunaadventuresbacalar,17907475933913884,👏👏
santos_tuz,17976924976406200,@lagunaadventures_ 🥳🥳
renobrcm,18178661224121657,Ohana significa Toretto
santos_tuz,18194865916111395,@renobrcm JAJJA beyo': así es
