hashtags:,#lenguamaya,#maya
post_url,username,comment_id,comment_text
jezzygirlloveyou,17929757902676436,https://www.instagram.com/p/CTD4GrnAvCA/,😂😂😂
lorenbethchg,17909029579965029,https://www.instagram.com/p/CTD4GrnAvCA/,😂😂
jcamposcouoh,17912430664982394,https://www.instagram.com/p/CTD4GrnAvCA/,😂😂😂😂 Necioooo
josejaviermay,17894741012331279,https://www.instagram.com/p/CTD4GrnAvCA/,Jajajaj esta chevere
yosoyjulioelias,17935091035627061,https://www.instagram.com/p/CTD4GrnAvCA/,😂😂😂 @santos_tuz
alexorlandocruz.acg,17939541304594129,https://www.instagram.com/p/CTD4GrnAvCA/,❤️
j.ivannavarrete8,17944832887541871,https://www.instagram.com/p/CTD4GrnAvCA/,Jajajaja que divertido😂
anelchavez53,17924713582715446,https://www.instagram.com/p/CTD4GrnAvCA/,😂😂😂😂😂😂😂😂😂😂 que creatividad 😂😂😂😂😂
xvldrn63x,18015185449323006,https://www.instagram.com/p/CTD4GrnAvCA/,Eso estuvo chido carnalito👏👏😂
mgamez0075,18131377354212734,https://www.instagram.com/p/CTD4GrnAvCA/,👏😂
aremi_cauich25,17918239600791499,https://www.instagram.com/p/CTD4GrnAvCA/,"👏Hablas muy bien él maya, yo solo se algunas palabras básicas 😍😍😍"
jose_ledesmaruiz,17898455546209687,https://www.instagram.com/p/CTD4GrnAvCA/,Asta suena como cochinito 🐷 jaja
rosajosealejandrodela,17896064999170097,https://www.instagram.com/p/CTD4GrnAvCA/,😂😂😂
alejandro_cachanilla,17925661753743531,https://www.instagram.com/p/CTD4GrnAvCA/,🤣🤣🤣🤣
santos_tuz,17906599378998879,https://www.instagram.com/p/CTD4GrnAvCA/,@alejandro_cachanilla JAJAJ😂
