hashtags:,#fblifestyle
post_url,username,comment_id,comment_text
mauriceleourd_nature,18031831829746361,https://www.instagram.com/p/DRBIqK9iVyK/,🙌 yo también soy maestro 😁 y de Francia
floresperonodetujardin,17952115095044571,https://www.instagram.com/p/DRBIqK9iVyK/,"Hola, me gustan mucho tus videos!! Mi profesión es Químico Bacteriólogo Parasitólogo 🥹🩷 espero me puedas ayudar!!"
rolfdonearama,17951466723021653,https://www.instagram.com/p/DRBIqK9iVyK/,¡Qué hermoso suena!
angel_tona_g,18112631386520113,https://www.instagram.com/p/DRBIqK9iVyK/,❤️
darioquezadaflores,17931614114997278,https://www.instagram.com/p/DRBIqK9iVyK/,Soy músico
cuatrogs,18111405511503391,https://www.instagram.com/p/DRBIqK9iVyK/,Muchísimas gracias 😍
diani.pc,18044846918701510,https://www.instagram.com/p/DRBIqK9iVyK/,Historiadora 🥰
deacoronadogamboa,17844890247609868,https://www.instagram.com/p/DRBIqK9iVyK/,"Hola soy Abogada , felicidades por tus videos"
_froylan_,18083066356863129,https://www.instagram.com/p/DRBIqK9iVyK/,🙌
beatriceortega63,18350237806207051,https://www.instagram.com/p/DRBIqK9iVyK/,👏👏👏👏
alejandro_cachanilla,17858013804554208,https://www.instagram.com/p/DRBIqK9iVyK/,📝📝
lsjcp,18319619017168627,https://www.instagram.com/p/DRBIqK9iVyK/,yo soy doctor (médico)
epistemic.exe,18106921606625096,https://www.instagram.com/p/DRBIqK9iVyK/,In k’aaba’e’ Mateo. In kaajale’ Francia (no sé en maaya?). Y finalmente como se diría alguien que trabaja en diplomacia
javi_alvarez_isasi,17859590622477278,https://www.instagram.com/p/DRBIqK9iVyK/,"Soy arquitecto, y me gustaría saber cómo decirlo en Maya, gracias"
vd012456,18047145734428460,https://www.instagram.com/p/DRBIqK9iVyK/,Mi nombre es De La Cruz
thelittlenativethatcould,18174952231368259,https://www.instagram.com/p/DRBIqK9iVyK/,In k’aaba’e Edwardo yéetel in kaajale’ Nueva York. Teene aj terapeutaen
