hashtags:,#ClubBahia,#ChingaTuMadreDonaldTrump
post_url,username,comment_id,comment_text
marilinvillanueval,17844365410040610,https://www.instagram.com/p/5qWnHeyApH/,Mírenla internacional la tila @andrurdz @marianaortegon14 @alerdz02 @rosserdz @michelleczm
mauveravd,17852920321040610,https://www.instagram.com/p/5qWnHeyApH/,Un vídeo de eso tilaaaa
calita.castillo.castro,17852905906040610,https://www.instagram.com/p/5qWnHeyApH/,"Tila, le puse a mi perrita tu nombre gracias a ti (cuando veíamos tus vídeos miraba atenta mente la pantalla) y ayer me la robaron. Checa mi instagram y ayudame a encontrarla  difundiendo. Sigue adelante!eres una chingona"
adrisros,17852887837040610,https://www.instagram.com/p/5qWnHeyApH/,Tila eres lo  máximo... Felicidades por éste éxito  y los que vendrán...
miakamila23,17852887699040610,https://www.instagram.com/p/5qWnHeyApH/,Cuando vienes a Las Vegas Nevada Porfis Tila!! Aquí somos muchos yucatecos
javierbrca,17852886640040610,https://www.instagram.com/p/5qWnHeyApH/,Tila eres la mejor 😅😅 #EresMasMiarda
rogercasanova1,17852885659040610,https://www.instagram.com/p/5qWnHeyApH/,"Como dicen en el argot artístico, mucha mirada Tila, a seguir triunfando y ahora a conquistar el extranjero y mientras tanto que Óscar lleve a divertir a los niños junto a Maritere"
ritamay2105,17852885632040610,https://www.instagram.com/p/5qWnHeyApH/,"Felicidades Tila mucho éxito,  te lo mereces!!!!!!"
dannyknight001,17852885494040610,https://www.instagram.com/p/5qWnHeyApH/,Felicidades por su éxito.
dannyknight001,17852885497040610,https://www.instagram.com/p/5qWnHeyApH/,"Cuando viene a Orlando, Florida?"
