https://www.instagram.com/p/B0y5gzVHr52/,hashtags:,#SemanaDeLaChancleta,#Princesas,#Disney,#TilaMariaSesto,#ProblemasDePrincesas,#Tilefica
username,comment_id,text
paco_2503,18104806165196573,👌
alondravazquez298,17872306870916170,En la primera parte me iso reir pocahontas 😂
jesuszaragoza1206,17846511919857035,Me gusto mas el de mulan
jaimedzul18,17843407402850069,Queso
jaimedzul18,17849490427764343,Ksskkdjdjzjsjndns qué son
omaan.ib,17870372053515032,"Gracias a él vídeo de ""las princesas se enteran de la nueva sirenita"" conocí tu trabajo y en verdad me encantó❤️👏, saludos desde Acapulco amo todos tus videos y a este elenco"
luisfigueroaandrino,17849576413543642,✊
criwwan,17850998053521139,Sus perfiles todas fueron muy graciosas?@tilasesto
shassel_m,18012994162227534,✋✊ están súper tus vídeos!!!
auroragarciaq,18067915387123136,Tienen obra ahora ?
am_i_juan,17887154725383264,✊🏻
franciscojavierperezc,17911305712327861,El chino bien depilado ja ja 🙌😂
franciscojavierperezc,17867092780446650,"Ame.ese vídeo, sobre todo a la de la princesa y el sapo, con su ingles ja ja... Osea cuida tus palabras girl ja ja"
iraaanzz,17903876935351257,"La súper diste con este video, por este te conocí y desde ayer que lo vi no dejo de ver tus videos y reírme 😂"
castrocauich6471,17847262972555037,"Saludos tila, eres la mejor"
mafer_arreola_,17991784498256719,Cuál es el instagram de Blancanieves? Es mi favorita 💕
evelynnceballos,18045975520173721,Mira @jucoga007
ana.cocom,18021759514209318,Maravilloso trabajo
music.an30,17847847978534705,Estuvo genial. La mejor semana !!÷. ❤️❤️❤️❤️
ciaui,17864834947446700,Claro rey pirata.
chris.marttz,17881643869403820,🔥🔥🔥
reivaj_anubis,17968129957281314,"Gracias por lo que haces ( hacernos reír ) que sigas cosechando éxitos, y sigue así como hasta ahora 👍👍👍👍"
zuutorres17,18010832953226536,Como ame a tíanaGirl😂😂
franciscojavierperezc,18073095964111805,@zuutorres17 su ingles ja ja la ame 🔥😍👏🙌
warrior_.may.739,18090232471043718,Falto jazmín Chini  pero les quedo super el video
rosaheredia145,18019497331220936,❤️❤️
naybigrace,18011470999235810,Excellente!!!🎉🎉🎉 Solo falto la adorada Jazmín Chini Rupe❤️
ameyiitaa,18061314943080353,Buenísimo 👏
andreaherreramua,17881687618401273,Jajaja me encantó! 🙌🏻😍
patty_villegasa,18055815523179153,Por favaaaaaaaar ven a puebla
karmin_de_amor,17847638992550445,😍
frikilara,17902618762353971,"""hagan la pose de su princesa"" -qué pedo con Pocahontas? 🤦"
frikilara,17953097272295594,Voy a repostear esta foto 😍
leo_rivero38,17977824646277601,Quiero ver esa obraaaa ♥️♥️♥️
aylin.y.c,18061458136088860,Que Preciosas 😂😍 Amooo Tilefica @tilasesto 😈🔥 y que Rica estas Pocahontas🤤🤤 @elchinofernandez 💥
jose_roberto_cp,17861397271467266,"Mis 3 princesas favoritas de ahí son La bella, Blancanieves y Pocahontas 🤣🤣🤣🤣🤣"
barbierooney,17874717901421103,@tilasesto ahora háganlo con los príncipes de Disney 😂🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻
chiquisfervez,18061667023186201,te adoro @tilasesto 😍
gabycastroal,17844056224563200,Bella hermosa 😍
_cielolugordz,17850572215523609,Princesas hermosasss
_cielolugordz,17886510874384427,Los amoooo
