hashtags:,#TilaMariaSesto,#RegresoAClase,#Tag,#Libreta,#Utiles
post_url,username,comment_id,comment_text
paco_2503,18071717497225550,https://www.instagram.com/p/B1heCCLH33n/,👍🏼❤️
karenaacevedo,17862456457698917,https://www.instagram.com/p/B1heCCLH33n/,"Para mis sobrinos, curso 2020-2021 @nitapinelo"
karen_selmira,18035283331244088,https://www.instagram.com/p/B1heCCLH33n/,Las necesito @tilasesto ☹️
glace.mon,17844681886630974,https://www.instagram.com/p/B1heCCLH33n/,Si las usare en prepa alb uwu
manecitanieves,17877920218438783,https://www.instagram.com/p/B1heCCLH33n/,Porque no le pusiste de esas en las libretas de Ariana @arianaalvareztrejo 😂😂
betto_domi,17884144309416985,https://www.instagram.com/p/B1heCCLH33n/,✊
mmmmmmmmm11_,18027543283208977,https://www.instagram.com/p/B1heCCLH33n/,HOLA ESTOY MUY EMOCIONADA PORQUE EL DOMINGO VOY A MERIDA YO SOY DE CAMPECHE 💜💖❤️🦄
bluxxmx,18097040590056571,https://www.instagram.com/p/B1heCCLH33n/,#siloquierequelopague
gabrielaisabelbetancur,17924177326320029,https://www.instagram.com/p/B1heCCLH33n/,"Hola! Y para cuándo un video de ""cagadas de la vida real""????????"
denisse_qotsagt010018,18061457293144062,https://www.instagram.com/p/B1heCCLH33n/,✊
bellanauticaa,17916232816328883,https://www.instagram.com/p/B1heCCLH33n/,😂 ✊
pilar_caballero18,18065925517095638,https://www.instagram.com/p/B1heCCLH33n/,Dónde o cómo puedo conseguir tus stickers para Whatssap? 🙏🏻😊
bmateomorales,18096227890033390,https://www.instagram.com/p/B1heCCLH33n/,✊
alejandro_dgz5,18015973048229190,https://www.instagram.com/p/B1heCCLH33n/,las voy a poner para la prepa ❤️
yeninayelinohcool,17842399372626736,https://www.instagram.com/p/B1heCCLH33n/,Porque cuando ya terminé la carrera? :(
ferca06,17843933011613211,https://www.instagram.com/p/B1heCCLH33n/,😢😢😢
ferca06,17874889411437590,https://www.instagram.com/p/B1heCCLH33n/,Que sad yo ya forre mis libros
ricardojalvarez,18060391348182124,https://www.instagram.com/p/B1heCCLH33n/,"@marijoguzalva para las libretas de vale!!, jejejeje"
_beatriz_diaz,17919389584323495,https://www.instagram.com/p/B1heCCLH33n/,"Hoy fui al centro y no vi ni el tuyo ni el del @elchinofernandez  k paso asi, mal sevicio jajaja, lo amooo❤️"
joseph_miranda84,17846935147580472,https://www.instagram.com/p/B1heCCLH33n/,✊
joseph_miranda84,17922457030316769,https://www.instagram.com/p/B1heCCLH33n/,✊
alberttoluuis,17859035644500360,https://www.instagram.com/p/B1heCCLH33n/,@alinejael
lau291184,17908040530348962,https://www.instagram.com/p/B1heCCLH33n/,@tilasesto ya tengo etiquetas para mi Bitácora del aula y Planeación Semanal!!!! 😂
nubia_ribero_,17848258990573820,https://www.instagram.com/p/B1heCCLH33n/,Jajajaja
vinahoo,17846242948590101,https://www.instagram.com/p/B1heCCLH33n/,Cool😍😍😍
liliana4250,17884021723393272,https://www.instagram.com/p/B1heCCLH33n/,Me encanto la presentación en el teatro Cancun.
makka_pakka_con_internet,18085105282074015,https://www.instagram.com/p/B1heCCLH33n/,Eso lo hubiera publicado hace una semana mientras ya forre mis libretas
ed_rdguz,17884163038395090,https://www.instagram.com/p/B1heCCLH33n/,✊😂
mayelnet,17973246193302919,https://www.instagram.com/p/B1heCCLH33n/,😂
adrui,17861002600485605,https://www.instagram.com/p/B1heCCLH33n/,Jajajaj son una verch 👌🏻
conssrmnt,18093673804055042,https://www.instagram.com/p/B1heCCLH33n/,Luego mando la foto 😉
naygapo,17855335513515857,https://www.instagram.com/p/B1heCCLH33n/,"Te la bañaste Tila!!!!! Lo malo que ya no voy a la escuela y mi hija está muy chiquita pa decirle que esta princesa es más chida que las otras, pero te sacaste in 100!!!!"
pao_ale_diazdeleon,17846108389596375,https://www.instagram.com/p/B1heCCLH33n/,Se la pondré a mí agenda de trabajo😁
samii_swag,18025851067212303,https://www.instagram.com/p/B1heCCLH33n/,@cburgosoficial  JAJAJAJA Bebeshito!! Mira!! 🤣🤣🤣
cburgosoficial,17902113331363603,https://www.instagram.com/p/B1heCCLH33n/,"@samii_swag JAJAJAJAJAJAJA si los vi, para tus libretas"
_damianstudy,17981582884277681,https://www.instagram.com/p/B1heCCLH33n/,Deberías dejar un archivo por descargarlas
soph.ie9rojas,17846771170586774,https://www.instagram.com/p/B1heCCLH33n/,Cómo se compran las etiquetas y donde pa irlas a comprar?
soph.ie9rojas,17911889785338184,https://www.instagram.com/p/B1heCCLH33n/,@thefxxkingheroine
cristhy_miranda,17859437599483521,https://www.instagram.com/p/B1heCCLH33n/,Si kieres te invito a mi cole para q hagas desmadre con mis compañeros☺
grettelbalam_25,18094133857061179,https://www.instagram.com/p/B1heCCLH33n/,Jaja yo las quiero ya mismo las consigo😂
maydelrocio98,18049447201199194,https://www.instagram.com/p/B1heCCLH33n/,JAJAJAJAJAJA LOS AMOOOOO
dali_idk22,17880885091412385,https://www.instagram.com/p/B1heCCLH33n/,"Así, si me dan ganas de entrar a la escuela jajaja"
itzeel_cp,17912631433333468,https://www.instagram.com/p/B1heCCLH33n/,Lo más hermosos necesito uno de esos 😂😂😂😂
dianacortezsa,17851871806530163,https://www.instagram.com/p/B1heCCLH33n/,@gnov_09  @lisa.llanes
_dcnb_,18025073263215260,https://www.instagram.com/p/B1heCCLH33n/,@emylia_23.98  para ir siempre cool nunca incool 😂 @tilasesto
emy.liaaa23,17848112677573640,https://www.instagram.com/p/B1heCCLH33n/,@_dcnb_ no manches sí😍
rejon.diana_03,18016174030239185,https://www.instagram.com/p/B1heCCLH33n/,Los voy a usar para mis libretas de la prepa Jajaja gracias @tilasesto
im_danisaurio,17989453009265917,https://www.instagram.com/p/B1heCCLH33n/,@aldo_jhh_
aldo_jhh_,17889514522408930,https://www.instagram.com/p/B1heCCLH33n/,@lauradanielaku no
dariana_montenegro,18095900380013410,https://www.instagram.com/p/B1heCCLH33n/,@alma.sofia20
