https://www.instagram.com/p/B9w-hE2gBQk/,hashtags:,#coronavirus,#tilamariasesto,#azul,#Mestiza,#blue,#comediante
username,comment_id,text
paco_2503,17892101362629158,😊👍🏼
difavet,17874211159920966,Oyeeeeeee pero que empoderad y milenial te ves👏
anniimoca,17890548634648280,😘😘😍👏👍
lachina.fuentes,17880200128758989,wey eres lo máximo 💗
leonora_kasteyanos,18053427376243923,Tila eres lo máximo...besos en tu c...
especamfue,17845529294121870,❤️
mariaildechan,17850833635976087,"Hola, tila, bendiciones"
mariaildechan,18138540940039654,❤️
abby_hudson11,17902827067435569,✊
vanefoster,17846917133008190,❤️saludos tila
escamilacauich,17848378009981672,Esperamos tus vídeos y así como lo dices hay que cuidarnos en verdad y ayudarnos entre nosotros
angel_javier83,17843584106040564,@edu3038  es la que te comento
gabyp75,18132394150044940,❤️😂😂
patricialuceroleon,18107226001119152,Saludos desde Ciudad Nezahualcóyotl Edo mex
patricialuceroleon,17864173399712043,Gracias me gusta mucho ese vestido
mimimillis,17937246412343058,Me encantaaaaaaaassss!! Te conocí en un momento muy dificil de mi Vida y me hiciste reir tanto que cada ves que veo tus videos doy Gracias a Dios por q existan personas como Tú!! Que Alegran el ALMA Y LOS DIAS!!! DIOS TE BENDICE
lily_hayded,17988158587295221,Hola Tila saludos y cuídense mucho 💙
pilitoraya,17874330931603456,❤️❤️❤️❤️😂😂😂
pilitoraya,17882261545525966,Que buenoyaotra vez vamos a divertirnos con tu comedia gracias
romanvila,17849884813945009,Te amo @tilasesto te esperamos pronto en Chetumal
elantonyrubio,17866912600673223,Eso mamona! 😉
bety.mar.7,17850912376930455,😘😘😘💃guapota empoderada
anabel.libra,17846549909002858,Lástima que la fama se te subió tila 😢
lygiazul,17852493340886504,I love blu😘
ahaedgp,17856902098818222,"Hola Tila Maria , para cuando unas bombas con palabras mayas si se puede, la verdad se oye muy graciaso combinar el español con el maya, y me encanta escucharlas así"
ruholahmx,17871332203623358,Que chingon verte nuevamente en YouTube!! Un saludo tila y si ves a oskar un abrazo. Exito
14.andy.03,18053558332219565,"Te amo, DIOSAAA"
soilanovelo,17874504196585322,Jajaja me imaginé como lo estarías diciendo con esa súper voz!!!! Saludos
bbymoxxa,18004300651284692,Cuando vienes a California claro ya q pase este virus..😬😎😎... Saludos de esta yucateca
marinetapech,18041055259244835,❤️❤️😍
fabiholitha_,17844007829050270,❤️
_sunset.cherry,18091640605145830,Hahahahahaha😻
m.l.cruz,17855502952855728,Ya era hora!!!! Te extranamos in chingo ❤️
vlzmunoz,18109269022097316,Saludos desde coatzacoalcos Veracruz
vlzmunoz,17874237484605790,Jajajajaja no mames yo solo he visto vídeos de isnta y también lo lei con tu voz en mi mente jajajajaja el tilavirus se metió en mi mente 😍😍😍😍
miguelcoellomx,17849740258930606,No te toques la cara Niniaaaa ! @tilasesto
tilasesto,18133277857028324,@miguelcoellomx cuando me tome la foto no había coranavirus
metmorpheus,18021502747265578,"Saludos desde Cancún, Tila!!! Cuídense igual uds, y todos en general. ✌️😎"
dannistroobe,17856799912818923,Te amo ❤️
grover.falcon.7,18108969526129089,❤️
clauadrir,17848487503968164,Hermosas palabras Tila 💖💖💖💖 saludos desde la cuarentena en  Paraguay 💗💗💗
rod_ere,17857559593804877,Ya se te extrañaba 😘
juliorafael_x,17849104030954737,Oye tila para cuando video en youtube
jane_burgos16,17912511088399298,Leí todo con tu voz en mi mente😂 ¿Es normal? Jaja
tilasesto,18029923954254128,@jane_burgos16 que bueno porque lo escribí pensando con mi voz
jane_burgos16,18080009950169639,@tilasesto 😂😂😂
karla_quijano9,17935175899355811,"@jane_burgos16 no solo tu,t juro que yo también jajaja"
14.andy.03,18120930562079192,@tilasesto Xdddd
14.andy.03,17889899110488711,@jane_burgos16 x2
jane_burgos16,17877335659564063,@andrea_b_14_03 😂😂
krito_orruiz,17869116697629471,@tilasesto 😂😂😂😂
jane_burgos16,18004565584281575,"Belleza pura, orgullo Yucateco🙌🏼😂❤️"
ozdanfansyucatan,17850848176900890,"Rayos, a esa hora estaré en mi trabajo 😔. Pero bueno, se te quiere ❤️❤️❤️ ya quiero ver ese video 👀"
tilasesto,17861673181737882,@ozdan_fansyuc pos ponlo para que lo vean todos 😊
ozdanfansyucatan,17845538783010565,@tilasesto ojalá 😔. No nos dejan usar el celular 😓
david_gd96,17938041577344814,Eso mamonaaaa!
jangelglez,17857563166806839,🌷😜😎👍😘
ednita_miller,17941022944337308,Tan bella tan bella 😍
angel_agruiz,18053209603217525,"Saludos desde la Hermana República de CHIAPAS!! Ya extraño las leyendas y las CAGADAS de la Vida Real, las espero."
dianapilarro,17865298978708951,Hay tila 👏👏👏👏👏 gracias en mi casa te amamos no wishamos de la risa  besos de una yucateca en los angeles 🙌🙌🙌🏻 @tilasesto
tilasesto,17856831121826372,"@dianapilarro besotes, cuídense mucho"
dianapilarro,18031040158300010,@tilasesto si tila acá está horrible más de lo que dicen las noticias y mis vacaciones a merida canceladas no dejan viajar para nada 😭😭😭😭😭
adri_c_alonso,18133477414002260,Quisiera tener la mitad de tu sensualidad x fa da típs sobre eso 😘 #lameztizamassensual
tilasesto,18046914685225206,@adri_c_alonso que puedo decir naci con ella
pech.james,17871279616621277,😍gracias tila.  Te queremos y esperamos pronto de regreso en Cancun
tilasesto,18110309485101273,@pech.james yo igual espero que pase pronto todo el desmadrito
karenaacevedo,18054058219221698,💯
tilasesto,18132785035062700,@karenaacevedo 😁
