https://www.instagram.com/p/BCmvHnqSAkK/,hashtags:,#Miaaarda,#Miardaaa
username,comment_id,text
sireniiaescalante,17852050303123932,Jajajaja eres la mejor tila
gretafloresgarcia_,17848392040123932,Jajajajajaj Jajajajajaj Jajajajajaj Jajajajajaj rayos de arcoiris wuaoooo
yahairafreestyle,17848382992123932,@rubicanche
erik._.herrera,17848271683123932,Eres mierdaaa.!! @mily.___.argaez 💙
pamesansores,17848074472123932,eres miarda😻😘@anagarciar_
harrystylesfuckedmelastnight,17847873361123932,@sabinepalomino 😂
sof_cg24,17847673315123932,Hahahhaa a que te recuerda @lalita_kandelario
lalita_kandelario,17847672484123932,Jajajajajajaja mira @sofyakontreras
alimonserratmorenoalvarado,17846952202123932,Jajaja q culllll😹
marisolvallequinones,17846680957123932,@irvingnbasto  jajaj
shavier_castro,17846354908123932,@_paumoguel  yo igual te quiero pelana😂😂😂😂👏
_espau,17846354341123932,@shavier_castro  JAJAJAJAJAJAJAJAJAJAJ
adelaidamoore,17846336737123932,@marisderska 😂😂😂😂😂😂
majocs,17845695673123932,@reginabg97 JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJA TU CUANDO ME MANDAS SNAP
reginabg_97,17845692475123932,@majocs HAHAHAHAHAHAHAHAHAHA 😂😂😂😂😂😂
luisagpreve,17845671505123932,@jeronimoguerreropreve
luisagpreve,17845529395123932,@daniarcila  @marialopez.98
luisagpreve,17845529386123932,@marianafigueroag
_nallelycast,17845458721123932,@ricardocastillo1
damian_canto,17845237093123932,Jajajaja
vanellyhc,17845129897123932,@luisherrera15
cieloespadaspadilla,17845114876123932,"Jajajaja jajajaja,saes que, te adoro !"
reogos_,17845092259123932,Jajajajaja @wendyleiba
wendyleiba,17845091554123932,@osgore_
karly_hdz1,17845086418123932,Jajajjja
claudia_yah,17845081465123932,@catluva23 😂 tú que eres bien mierda 😘
zoefdez,17845054033123932,@_valfdez
almatosa1821,17845053652123932,Me encanta usted me hace teir mucho no puedo irla a ver ya qye desde que llegue a merida le diagnosticaron cancer a mi marido y aqui estamos solos con mi hija estudiante de medicina asi que mi vida gira alrededor de mi fam. Y sus cuidados.. pesado ...si pero mi amor pir ellis es grande ... asi es que con vela asi por medio de lis medios sociales me conformo..gracias mil..un beso
humasaarel,17845052158123932,Jajajajajja😂😂😂😂
honeymoon_light00,17845049290123932,Miardaaaa
feerchi_bm,17845041325123932,Jajajajajaja tu amiga @ricardogamboat
ricardo.huchim,17845035376123932,Ja ja está genial
valeriarguez2106,17845033906123932,@angievarord JAJAJAJAJAJAJAJA ALA ONDA
ka_mort,17845033006123932,@karlangas_langas
steff_matos,17845032688123932,@eduardo_isaac21 miarrrrda 😂😂😂
fernandaferrerr,17845030135123932,@naomymf JAJA
contrerasdidia,17845029958123932,@leonardopech para reirse
mrz.clarise,17845028851123932,@yaz_vanity
liamorales24,17845028668123932,Jajajajaja
mahatmi_zeus,17845027348123932,Saludos
mahatmi_zeus,17845027345123932,Jajaja muy bien sañudos
arturoviera,17845027021123932,@alegien
axel_ordaeyu,17845025590123932,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
maribelmenc,17845024264123932,@daraneem jeje
angievarord,17845023034123932,@val.rguez_  Jajajaja
da1uka,17845020880123932,Estupidaaaaaaaa!! Hahahaha
ed_ricalde1,17845015528123932,Jajajajajaja  saludos tila #besosentuculo
leslyhau,17845014391123932,Jajajaja 😂😂
