https://www.instagram.com/p/BFXSoKbSAsu/,hashtags:,#ReynaBitch,#confucioeselqueinventólaconfusión
username,comment_id,text
laurenmichelle_uhcime,17860516435061678,"Miss Weputa😂maaah ve eeellla bien sexi,la pelana,tqmmm @tilasesto"
laurenmichelle_uhcime,17860032721061678,"Misa Weputa😂 nct broma @tilasesto  jaaja te adoro,y que??nos vemos el 13 de julio en Sinanche??"
gretafloresgarcia_,17859715246061678,Que retechula besos
yukatekaso,17859364054061678,Más chula ella !!! Hace mucho que no te veo !!! Hay que ir a los arrancones!!!
sherlynprado,17859144307061678,💟
sherlynprado,17859144295061678,✌
sherlynprado,17859144289061678,👍
sherlynprado,17859144274061678,❤
sherlynprado,17859144265061678,💅
carlosmontpech,17858745841061678,Así no se escribe escarcega jajajajjajaja
faby_yi,17858744206061678,Ered terrible Tila jajajja morí de risa con tus comicidades 😛😝😜
ontiverosmau,17858735944061678,Próxima Reyna del carnaval de merida
citlalyyaez,17858732839061678,Que shula estas Tila 😊😊😊 saludos desde Michacán #besosentuculo♥
ayminhg,17858724811061678,#chula #pelana
vladich1102,17858722963061678,😄 te vez bien tila 👍🏻 saludos
de_azul,17858719903061678,Saludos tms
nahutn,17858719705061678,No te preocupes la que es Linda es linda o no
vasq_gabriel,17858719570061678,Asi o mas cagado tila
m_galvan6711,17858719528061678,T ves divis
chibikkoarts,17858718751061678,Hahaha seguramente llego el negro ese corriendo a decir que hubo un error y le quitó la corona ❤️ no te apures eres reina de nuestros corazones
manuelamartinezvazquez,17858717914061678,Ho ho me encanta tila Maria Sesto
lilastm,17858717773061678,"@rubicmc que pedo se envió en directo, el chiste es QUE LA AMO Y NO ME LLEVASTE!!!!"
armindarza,17858717767061678,En perra <3
efrencp,17858717701061678,"Usurpadora,jajajaja"
arturoviera,17858717551061678,@alegien
https.eliezer,17858717476061678,Hermosa😍❤
valeduran_,17858717455061678,te amooo @tilasesto
