https://www.instagram.com/p/BKL3Yn5AeEq/,hashtags:,#EstupidaMiHipilidiota
username,comment_id,text
roxylmar,17890570309268887,😂😂😂😂
monireyesruiz,17847586474193041,@davidvadoa jajajajja me recordó a ti
rosa_aura75,17864419825032711,Jajaja
lazulyb,17857273504069727,@marvrodguez  controla tu ira
qvdianna,17855953792069727,Cuuuando en Cancun!👉😍
lucila_al.gtz,17855951773069727,Jajaja tila en terapia Jajaja
elvi_sanchezd,17855951605069727,"Cuando en cancún, no alcancé a ir ayer😢"
russellyperera,17855946994069727,@henrytix  hahahahah ❤️😂
mariaerdgzn,17855926483069727,@tilasesto tráelo a Cancún porfa!!!
virizramirez,17855922652069727,@pepejuniors
corazhu_medina,17855916592069727,Jajajajajaja muero de risa!!! Tila me encantas 😅
santiago_gonzan,17855907808069727,Te Amo @tilasesto
cesarm152,17855905384069727,Quedan boletos tila??
minevall,17855904739069727,Ya tengo mis boletos 😁
isabel112685,17855904478069727,Jajajajaja
romeocarcano,17855902639069727,Jajajajajajaja
lolyta_bellita,17855901730069727,Jajajaja
pathyaccr,17855901625069727,Ja ja ja ja buenisimo
