https://www.instagram.com/p/BNTWBTjgPKW/,hashtags:,#Irreveren3,#PalenqueXamatkuil
username,comment_id,text
gretafloresgarcia_,17884172833034022,maravillosos
alicitagamboa,17866026892003456,Los mejores
andrea.ed96,17845005196174276,😍
baquedanocastillo,17844891424158982,Maria santísima adios nos agarre  confesados
ojeda.betsy,17867284000001400,Saludos al macta!!!!
lizbeth_marcos_huerta,17844834322168727,Hermosas y hermoso q Dios los bendiga
ninfa_berenice,17859936202071178,Guapo mi macta 😍😍😍😍
jannett_santiago_,17856044344118708,Saludos los admiro mucho a los 3😊
jesushoil,17866263262043468,Los esperamos en la feria de la naranja!!! Oxkutzcab 2016
ayminhg,17844816850164811,"Súper evento, el personaje de cada uno de ustedes es excepcional 👏🏻👏🏻👏🏻"
fina.ortega.96,17866346695049535,Excelente noche !!!!! Diversión al 100% Naye tila y macta espectaculares
julian_carcano,17844786172153741,Excelente noche excelentes actuaciones ojala siempre hayan palenques
marivickyta,17868093637030365,Debio estar de lujo 😀
gretafloresgarcia_,17868333037042365,NaNi preciosa
gretafloresgarcia_,17865808153062600,Tila preciosa
gretafloresgarcia_,17844815860175471,Preciosa y guapisimo
luiggymix,17844812350176040,jaaa puro puyul.... saludos hijas
chalo.dc,17844813148160656,Apeeeenas van a salir @seyninovelo
