hashtags:,#ElGloboEnYucatan,#FIGY
post_url,username,comment_id,comment_text
raot23,17876305870059901,https://www.instagram.com/p/BPlz66YgZWl/,Ni a putasos se eleva esa madre @tilasesto
alecitha.interian,17861139628074355,https://www.instagram.com/p/BPlz66YgZWl/,@guillermo_chi
adiased,17847572800182040,https://www.instagram.com/p/BPlz66YgZWl/,Jajajajaja eso fue todo lo q se pudo elevar!!! @tilasesto
ailynsalomon,17872459108036842,https://www.instagram.com/p/BPlz66YgZWl/,@marianalizarraga
cieloespadaspadilla,17870606176050930,https://www.instagram.com/p/BPlz66YgZWl/,Woooow.vuelta al mundo en 85 segundos ....Jajajaja jajajajajaja...Seeeee...que emoción...¡¡ Me marie ¡¡Jajajaja.
maryangelesbm,17870781325040507,https://www.instagram.com/p/BPlz66YgZWl/,Pesima organizacion!! Experiencia nada agradable
andreaa_rivero,17847858301147443,https://www.instagram.com/p/BPlz66YgZWl/,JAJAJA te adoro
cheoargaez,17847496600176448,https://www.instagram.com/p/BPlz66YgZWl/,A quien violaban con el microfono??
luad29,17847562195159085,https://www.instagram.com/p/BPlz66YgZWl/,"Que chido :) aunque me dijeron que el evento en si, estuvo muy terrible :/"
or_tizelena,17849096170142605,https://www.instagram.com/p/BPlz66YgZWl/,Saludos
cipactli_m,17870742316000098,https://www.instagram.com/p/BPlz66YgZWl/,@jairng
