https://www.instagram.com/p/BRW5dW2DUPp/,hashtags:,#PorqueLosHurosAmanALasCabronas
username,comment_id,text
ingridguzr,17874730744025788,Amo tus videos tila!!
paola_rivera21,17861922244091730,@tilasesto estaras en la expo youtubers verdad
nizotto,17873251459037843,"Me encantaste!!! Estuvo buenísima, reí como estupido"
frany.rincon,17874694093008125,Te admiro tilita😍😙
promocun,17861398039091780,Tila puedes revisar tus msg de face porfa. Urge
larissachacon,17863360597104274,@mariterebraga comportate que va a decir tu esposo🤔
pcapolis,17850808123165056,Huros o huiros?
ayminhg,17874006970004565,Suerte y mucho exito😍 @tilasesto
mariterebraga,17851814776151509,Te amo💞 #EnSentidoLiteral
mauricio_anca,17863295074111272,Lo ire a ver
mauricio_anca,17875531462059959,Wooow
mauricio_anca,17874777409012612,Jajaja
sabrinaaguilar.xmx,17875589896002566,Me encantassss😭❤
_33paosan,17861498602080972,Tu muy bien eres mi ídola cabrona
marieli2795,17874112099057334,la mejor obra 😊
_33paosan,17875591810034065,Wow
