https://www.instagram.com/p/BgJLjLHloBU/,hashtags:,#Risas,#TilaMariaSesto,#NoLoPiensesSoloRielo
username,comment_id,text
paco_2503,17854481282264711,😎
mariadelpilarhernandezeliz,17922260962402706,"Siiii. La verdad disfruto muchos tus videos, a veces estoy sola viéndolos con unas carcajadas que mis perros comienzan a ladrar. Geniales tu y Maritere. !!! 🙏❤️🙏❤️🙏"
flais79,17916731383252382,Te amo tilaaaa
margaretevonjezierski,17946465466090068,Huipil con reloj de hombre...pelas!
sheila_deelgado,17929357840043730,Herrrrrmos@!!😄😄
nely.af,17929969774025711,Tila cuando subes video donde pagaras por haber perdido en el vs
pech5847,17903865952135970,Siempre elegante
tobychaparro,17900558692161709,"Vientos tila x eso no t dejamos, p seguir cagandonos de risa..como la vez...Jijijijijiji Jijijijijiji jijijijijiji"
silvi_lori,17929539379056607,"Muy bonita sonrisa, Dios te bendiga..!❤❤❤😇"
aley_bonl,17930835325014051,"Así es  Tila tienes toda la razón, por cierto me encaró tu nuevo vídeo ya tienes mi voto. Tila para Presidenta!!"
mel.0717,17905280233143334,"Me reí tanto con tu nuevo video de si fueras presidenta, saludos"
elmango1,17856771862236367,Que buen vídeo el de si fuera presidente 👌👌👌 @tilasesto
marycarmen_caballero,17916992497129481,"Eres lo máximo, tienes mucha razón, lindo fin de semana 😘"
pachico_gzn,17932250356054041,Puse a reproducir todo tu canal en la tv's del comedor en mi trabajo 😂#Tilateam #misioncumplida
chutaelchulo,17902504909146922,Asi es Tila a vivir feliz porque solo hay una vida
xaviuribemx,17911831522080697,Que perra que perra ! Que perra esta wira jajajaja @tilasesto 😍😍😍😍 soy tu fan
diana_mids,17924226316071101,Ay me encantas
sauuuulo,17904047746132904,Te amo 💖
montejo_om,17929908484050701,Que bonita...
nelsyvm,17904141436133055,Bravooo! Más risas y menos caras de mierdaaa 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
julietasolojulieta,17914080085122389,¡Un abrazo gigante desde Monterrey!😉
samedd28,17900257312166495,"Jajaja siii creelo! Aquí donde vivo hay mucha gente que ni los buenos días te responden, solo tiene su cara de mirada 😒"
eliblankenshipvera,17916532567098811,mierda jajajajaajaa
maria_concepcion4,17851745095243851,"Muy cierto mi amada tila hay que sonreír ahuque nos digan loca,saludos."
euanaida,17900123104166195,Así es tila... Y estoy totalmente de acuerdo saludos tila te mando un beso
landy.polanco,17897929966168067,Hermoso dia para ti tila
emy_delozan,17917162741113444,Totalmente de acuerdo..❤🙈
xinshao29,17856420613237664,Me cago de risa cuando dices “caras de miarrrdaaaaa” jajajjajaja 🤣😂🤣😂
alm.isabell,17872039999205882,Te ai lovius Tila 😘
viridiana.magana1091,17914150498126099,Opino lo mismo que tu tila y yo lo aplico diario en mi vida hay que vivir el momento por que ya no hay marcha atraz se vive el momento ya no hay un mañana y la risa cura todo saludos tila y muchas bendiciones hoy y siempre
lulutrejo__,17917170049098038,"Me vino como anillo al dedo lo que escribiste, ahora que me siento tan mal."
regynys,17916534892107195,Mi mestiza favorita :)
renee_aceves,17904141715185754,Sólo tú puedes transmitir un mensaje tan bonito de esa forma tan peculiar jajajjaa. Eres chingona. ❤️✌🏻
delyfravell,17911256602085483,Exacto hermosa mestiza 😘
noemialcocerm,17920706848074142,Te ves hermosa con esa sonrisa tila pero creo que oscar tambien es guapo con la misma sonrisa
gabsb86,17916180916116745,"Una mestiza moderna con su Reloj...buena combinación, saludos!!!!"
econectaroskar,17868915022220026,Guapisima
moramay.nv,17888729533196877,Completamente de acuerdo @tilasesto hay que ser feliz aunque nos lleve la chingada por dentro... Y reír y Sonreír ...es un ejercicio diario ... besos 😘😘
drmarcopoloapaezaraujo_oficial,17930899546005724,Así es @tilasesto andas con todo y tu muy bien 👍🏼 la vida se hizo para ser felices 😊
rolando_melo,17914317505121784,Guapísima @tilasesto
maria_isabel_1988,17930323324058799,Asi es mi querida @tilasesto
jonaticasyuc,17911538581086962,Irela que guapa @tilasesto 😍
marjuarezoficial,17901351514155871,Que guapa @tilasesto 🙈😍
