https://www.instagram.com/p/BgmVAs4FwqH/,hashtags:,#Khaleesi
username,comment_id,text
ramon.chan.52056,18129998605185689,👏
paco_2503,17882972713772835,💕
dayamicarolinas,17846709515343705,❤️❤️❤️❤️❤️❤️😍😍😍😍
muacky3,18025121614303321,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
mariadelpilarhernandezeliz,17888100130531770,"Bella, bella !!!"
bella20ago,17852623342467691,👌👋
terelu81,17957144197213128,Hermosaaaaaa
patriciapulbe,17973837817179749,Hermosaaaaa.
ilsearacelly,17977437883088319,Hermosaaa
his_queen.ldb,17951875837138280,Pero que niña más hermosa..toda una princesa..💜
elycatlover,17941363666157225,Cuídala del chino #elesunpeligro jajaja
elycatlover,17970166282050837,@tilasesto  que hermosa 😍  ella si es hermosa #mueretedelaenvidia saludos
arellyalcocerlocutoraholistica,17947705912078032,Está divinaaaaaaaaaa!!!!!!! 😍
sophcigarroaa,17916070693174043,Se acuerdan jajajajaj @francesca.lg @ana_paola_rios_
_paulemusic,17923464325184296,@sophcigarroaa JAJAJAJAJAJAJAJAJ PEPPAAA LA CEEEEERRRRRRRRDIIIITTAAAA
francesca.lg,17948579557005315,@sophcigarroaa hahahahahha sii anuma
cubanito_suarez,17878777645208617,Que bonita felicidades
cristellugo,17935717396001694,@faboruiz es cierto!!! Muy bonita la Tilita jeje
maximinoyamcab,17932041808009141,Hermosa tu niña pero se parece mucho a su mami.
osorio2659,17919329575104571,Muy bonita tu pequeña..q Dios la siga cuidando ...a ti q te de paciencia y sabiduría para poder edu arla
ramoncruzale,17903032249164210,Eres la mejor tila saludos
irmarobertos,17908207258142852,Estoy enojada contigo tila no quisiste tomarte una foto en el show de czm
pattycarrillo81,17842777585249253,Felicodades y estan igualitas 😉
xici78,17905846201146890,Auuu que bella es muchas bendiciones u feliz cumple. Linda
tere_ferrat,17945337022020174,Muchas felicidades por tan bella niña.
karrlynita,17914296739089965,Está reeeelinda Felicidades a tu beba
yoahana_cardenia,17914201471087296,"Que hermosas palabras para tu pequeña , Dios te.la bendiga siempre."
stephanyloriadiaz,17932864546011259,Felicidades a Kaleshi preciosa 🤗🤗🤗🤗🤗🎉
karin_luna,17904407974156974,@yesi_caamal
ferchosanchez.gnzlz,17933713435022577,La khaleesi mas hermosa. Tu rompedora de cadenas amorosas
lixi_pb,17933746438061921,Felicidades a esta bella nendicion y no me canzo de admirarlos como padres y como pareja q han salido de lo mas oscuro para iluminarse uno al otro en el camino. Felicidades familia hermosa
karliita1,17872928800202858,Esta bella tú princesa. Felicidades.
alexariminaya,17919180067101958,Hermosaaa y feliz cumple
yanelly_zh_,17905029184150554,Esta igualita
gaby.law,17919603700105245,Hermosa! Felicidades!
solis_dguez,17914160155084219,Felicidades a tu princesa hermosa familia
carlitacano,17931741265051419,"Y llegan los hijos a sacar lo más cursi de nuestro ser, eso se llama amor!, felicidades a tu princesa que está preciosa! Imagino salió a la mamá jajajaja"
prexiosa291,17860596682224735,Felicidades
margareth.morenotzuc,17932389976058803,"Que hermosa igual de guapa que sus madres felicidades a tu hija Tila Dios lo la llene de gracia, salud e inteligencia y les de conceda sabiduría y paciencia para criarla y cuidarla siempre, Felicidades!!!"
flower79santos,17854540210244656,"Q padre hermosa tu princesa cuidala mucho y feliz cumple .,"
ingridnovelo07,17857564333242269,Esta preciosa 😍❤️
ale_c1623,17842471351251175,😍😍😍
beatriz.g.herrera.3,17857581301241195,"Hermosas palabras que brotan del corazon, tu clon Tila"
didirouse98,17859183946236259,La mini tila que hermosa
lunazulroro,17860134007226568,"Una bendición,diría yo,bella tu princesa"
jazp2019,17871384676218320,Hermosa !!! Felicidades !!!!
genii.apa,17859028297237120,Que bella está tu hija Tila 😍tiene toda tu cara!
pech5847,17933216161021496,"Se parecen, igual mí esposo hoy es su cumpleaños, a comer pastel"
lygiazul,17906236660191976,Boshita
marisolperez9052,17923667992078670,Un gran abrazo a esa hermosa princesa 😘😘😘😘😘😘
noemy052000,17904757894150283,🎊🎉🎁
ileanaarjonaech,17872493947209113,Felicidadessss hermosa princesita🎂😘💖
noemy052000,17902735288163444,🎊🎉🎁
paula_poot,17872375855208572,"Tu gran tesoro , muchas felicidades 🏵️🎂"
amayranihau,17932735750025924,Felicidades Dios la cuide saludos
karinbioticaguillen,17871305431221260,Dios la bendiga !!!
karinbioticaguillen,17871276226218616,Felicidades a una de tus Hermosas Princesas!!!
gabyroce,17914183558082833,Hermosaaaaaa
mariela_1411,17908109122138756,Felicidades a tu bby.  Dios la cuide. 🎂🎉
heykanna,17927327572065792,Que Chulaaa ❤️
yessi_martinez_a_,17930280898037020,Felicidades🎂🎈 hermosura de niña cuidala es tu 💎 perfecto @tilasesto 😍 Felicidades mil veces 🎂🎈
hebercastalugo,17905060876193903,Felicidades!!!🎊🎉🎈 De tanto que nos quieres decir hasta Cantinfleas 🤣🤣🎉
guichobolanos,17859370651234855,Felicidades a la hermosurita! Obvio la niña 🤣🤣🤣🤣🤣
abrilinaku,17873375761207921,Tilita! Que belleza!
xochilttenreiro,17859748414234415,Muy bonita tu nena DTB siempre esa linda chiquilla
alexia_kitana11,17872180780215025,"Me acuerdo de haberte visto en un Senka y era apenas una bebé, que grande ya esta. Ojalá no salga weputa como la tila"
kateetamayo,17859417868234066,wow que bella festejada mil bendiciones y que festeje mucho
pakolam77,17904942418192824,Que bueno que se parece a su mamá !!! Jajajajaja
alexpechl,17843011276247137,Hermosa nene saludos tila
_karlgasca_,17904801565149674,Está hermosa... Es tú en niña! 😄😍
nelliemembreno,17902349995167676,Preciosa
minevall,17931606742026056,Está hermosa! Felicidades
ferelyy,17918618518119686,"Muchas felicidades 🎈🎉 a esa beba, que Dios la cuide e ilumine siempre @tilasesto"
b_ering,17859184867235150,"Están idénticos, felicidades hermosa."
larissachacon,17923959325077492,Waaaaaa!!! Que emoción me encanto leerte!!! Felicidades a la preciosa Khaleesi tan inteligente y con unos papitos espectaculares 💕
fkitamosha,17918717017111868,Felicidades a esa hermosa bb
karla3189,17927834539071341,Volviste a necer
emys27,17932448620028751,Hermosa khalesi feliz cumpleaños!! Que sigas iluminando la vida de todas las personas que tenemos la fortuna de conocerte!!con esa sonrisa tan bella que Dios te dio! Bendiciones y mucho amor para ella!!! 🎂❤🎉 @tilasesto no te hagas da tu tanda mestiza jajajaja
karmin_de_amor,17932443544041952,que bella foto
lagisemarina,17906361955132314,Esta bien linda. Felicidades!!!
