https://www.instagram.com/p/C3qvBKgPfLf/,hashtags:,#teregañoenyucateco
username,comment_id,text
adriborgesc,17919753707792995,@nano_jane_n2mu
tt_mayo,18021300299028994,😂😂
sinai_godinez,17910041333825157,Ya somos 2 tampoco he quitado mi árbol de navidad 😂😂😂😂😂😂😂😂😂😂
kebilu_msv,17993605640544127,😂😂😂❤️❤️❤️❤️ ya heres un amor ❣️ 🫂
aracely5356,18116934196349207,"Coño pero es que esas pinches tortas de cochinita, los panuchos y salbutes  salen más bara que una membresía del Gym 😁😁😁😁😁"
amelia10946,17993882732605364,😂😂
catycon,18255567706170135,😂😂😂😂
ana.isabel.santamaria26,18255344992169605,😂😂😂😂😂😂
osbaldoasuarez,18014680004149409,TILA UN ABRAZO FUERTE TE CONOCI CUANDO TRABAJAS CON MELLO COLLI EN LA FERIA DEL CEDRAL DESDE AHI ERES MI IDOLO PUEDES MANDARME UN SALUDO PELA NAHA
bebitasteel251,18028771840763756,😂😂😂😂😂😂😂😂😂😂😂
carlotasalvis,17898289655953929,😂😂😂😂😂😂😂 Jajajaja 🤣🤣🤣🤣
teque_art,18004796615150252,😂😂😂😂
alejandr_ara,17887011855002788,"Yo si fui al gym desde el 2 de enero 😘😘 y x2 sigue mi árbol en la sala, solo eso queda el árbol pelón jajajaja"
