https://www.instagram.com/p/C796RxBvXCJ/,hashtags:,#AMIGAS,#TeRegañoEnYucateco,#Herculey
username,comment_id,text
n.sofiiaa_,18301109977090536,@luan.aguerrero77
amelia10946,18036380815795409,😂😂
lapockapalacios,17909025284877816,👏👏👏👏👏👏😂😂😂
onnamanga,18008373956274592,Vengan a Cd del Carmen 😂😂😂😂😂
tilasesto,18021140108223233,@onnamanga que vas a dar?
onnamanga,17909311262878885,@tilasesto lo que quieras!! 😂😂😂
willyflota,17928668996891011,Algún número telefónico
tilasesto,17898093674937100,@willyflota con quien quiere hablar?
willyflota,18033147064851474,@tilasesto con tila para un presupuesto de un evento
tachitc_,18290268454161538,Necesidad mi mamá diciéndome  tapándote tu órgano genital  si bien que te gusta la 🧪🍆😭 ajjajaja #300pagosenelectrka
ayalavickydelgado__princess_16,18004831238533968,😂😂😂😂😂😂😂
gabyrenteria_marrufo,18035040994985370,😂😂
jorgemasajista470,17979591965701835,👏👏👏👏👏👏😂😂😂😂😂😂😂
