hashtags:,#sketch,#comedia,#c#comedia
post_url,username,comment_id,comment_text
vargaszeusabraham,18047461006999321,https://www.instagram.com/p/C7SInBYId31/,Yo que soy tu hermano pero si mi hijo ase sus cosas yo no me meto hermana
lil.fresa_,18010635839420895,https://www.instagram.com/p/C7SInBYId31/,"AMOOOO, me encantó lo de: El señor ""oye, bájate de mi nube👹"" JAJAJAJJA"
tilasesto,18090055924450901,https://www.instagram.com/p/C7SInBYId31/,@lil.pear_ es referencia directa 😁
barbrjn,17997464747398388,https://www.instagram.com/p/C7SInBYId31/,
marisoljim23,18056574715610600,https://www.instagram.com/p/C7SInBYId31/,😂😂
danielbaronamx,17982836147682643,https://www.instagram.com/p/C7SInBYId31/,😂🙌👏
barrerajosepedrogutierrez,18032025779068153,https://www.instagram.com/p/C7SInBYId31/,😂😂😂😂😂😂😂😂😂😂😂😂😂😂
lolis228,18236059384269180,https://www.instagram.com/p/C7SInBYId31/,😂😂😂😂😂
jordania_jimenez3024,17998788959376213,https://www.instagram.com/p/C7SInBYId31/,Q d**graciadas dejando a hades en suspenso 😂😂
