hashtags:,#HERCULEY,#COMEDIA,#DISNEY
post_url,username,comment_id,comment_text
sambgos27,18031507256081214,https://www.instagram.com/p/C8DD-QFJ2v6/,"Una pregunta. Alguien sabe cómo ver sus shows completos? Soy de Colombia y obviamente no puedo verla en vivo, aún jeje"
tilasesto,18031928263886213,https://www.instagram.com/p/C8DD-QFJ2v6/,@sambgos27 pero ya revise y si hay vuelos desde Colombia!😅
sambgos27,18024703538470513,https://www.instagram.com/p/C8DD-QFJ2v6/,@tilasesto jajajajja
jcsalor,18046545262785057,https://www.instagram.com/p/C8DD-QFJ2v6/,😂😅😂
yy_delmoral,18003676853562673,https://www.instagram.com/p/C8DD-QFJ2v6/,"Hola te deje un DM, nos gustaria colaborar en una campana contigo"
canuetraul,18038751514903530,https://www.instagram.com/p/C8DD-QFJ2v6/,😂😂😂😂😂
milagrosb171,18050081476606959,https://www.instagram.com/p/C8DD-QFJ2v6/,Ni la megara aguanto la risa jajajaja
jesusespinosa03,17911672982954071,https://www.instagram.com/p/C8DD-QFJ2v6/,Revista de animal Planet 😂
natalie.brenda,17851579806182655,https://www.instagram.com/p/C8DD-QFJ2v6/,😂😂😂
albertocoper_fotografodebodas,18047321014696545,https://www.instagram.com/p/C8DD-QFJ2v6/,"❤️ Tía Tila ❤️ Me encanta lo que hace, siempre me recarga la batería 🔋 cuando más lo necesito 🫶🏼❤️‍🔥 Gracias de corazón. Ojalá lo pudiera subir a alguna plataforma de cobro y pos a cooperarle para ver lo bueno !! Saludos 🫡"
claudiajzpua,18066905011535750,https://www.instagram.com/p/C8DD-QFJ2v6/,😂😂😂😂😂😂😂😂😂😂
fidel_ezq222,17908470311886624,https://www.instagram.com/p/C8DD-QFJ2v6/,😂😂😂
rebeccarbck,18436995772063436,https://www.instagram.com/p/C8DD-QFJ2v6/,Jajajajajajajajajajahahajahah
lluvia_brisaa,18281460610201068,https://www.instagram.com/p/C8DD-QFJ2v6/,😂😂
ofeliarodriguez74,18009027608528406,https://www.instagram.com/p/C8DD-QFJ2v6/,👏👏
tachitc_,18322064830178369,https://www.instagram.com/p/C8DD-QFJ2v6/,Descampchadas. Erga de puso brava la megara si llegan a venir a cabo dirían allá. P. UTA MADRE TA CON MADRE🌈✈️🧪🚀🐈‍⬛ miau
