https://www.instagram.com/p/C9LPltUvDfh/,hashtags:,#humor,#comedia,#chile,#picante
username,comment_id,text
freddysancheznavidad,18069134836553170,😂😂😂
picido77,17902025154035229,Lo bueno es que hay un montón de agua para que te quites el enchilado Saludos desde Italia 😂🤟✌️
flores.beatrizadriana,17866279347165035,Ya estaba casi llorando el pipirin jajajaja
debajo_de_los_cielos_purpura,18058042135620691,Se me antojó 🤣
brendapadilla210,18146506573323669,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
aracelly_ucan,18100522732419373,Qué rico 😂😂😂😢
tercoku,17900965067935806,Jajajajajaja pelana tila 😂😂😂
betosaavedra75,18075150925512495,😂😂😂😂
betosaavedra75,18021377564340165,😂
tt_mayo,18033090260089310,"Encuentro de dos estados, muy nacionales, los mejores 🙌"
conchis2906,17942604164829819,😂😂😂😂😂
osamastandopedo,18013094117436754,"Harbano pipirin, como les gusta el chiles a los majacanos, te lo mando un saludos desde Dubai #jalamelami #halamelahay #salamisalao😂😂"
solarroyo9570,18013829630242064,Pipirin  que paso ahí...si nosotros los jarochos somos experto comiendo arto chileee🤣🤪
lorenzo_motorex_leattlorenzo,18061017970611063,😂😂😂😂😂
aidecarmona84,18025824479235206,😂😂😂😂
axel_ciarag,18014351969203827,"Chingon @comediantepipirin, aguantaste la botana..🔥🙌"
vicocetz,18133542217345358,😂😂😂😂😂😂
amelia10946,18029963228126322,😂😂
cuas.cuas.7,17931123632884440,Excelente 😁😁😁😁 haber como rasguña las paredes del baño 🤪
mari.30008,18045913555859907,Me encantan 🤣🤣🤣
juanito316797,18139741003328694,😂😂😂
alexiiz_sanz,18010558817578450,El día que  a pipirin le lastimaron por Chile yucateco 😂😂😂😂 y el picante 🌶️ igual 😂😂😂
caldferm35,18284195230207313,😂😂😂😂😂
contenidonetto,18033987221095975,¿Cuando los vamos a ver en @lacotorrisa ?
gallegosdanielmartinez,18001661000629515,😮😮😮😮😮😮😮😮😮😮😮
enocvicencio,17876604576049699,Se  pelio con el mayate pipirin 😂
alfonso.franco.520,18071559379529519,Saludos manito 🫂🙏🏽éxito  siempre
lluvia_brisaa,17926729154806566,😂😂😂😂la cara 🔥 jajaja
edgarmota.mx,18443508547027888,De los mejores comediantes de la actualidad 👏
yoshiparayal,17908095212901560,¡Jasuuuumecha! 🥵 @comediantepipirin
martinortizgonzalez,18029714522509976,ahí te encargo en la salida
jeronimomedrano858,18044353573876309,😂😂😂😂
eduardohdz728,18004719815620713,😂😂😂😂😂😂
arturoalobato,17883210564067707,Mi fav @arturo_avalat 😍
freddy_mk3,18048370312801103,😂😂😂😂😂😂😂😂 Más chile??? 😂😂😂😂😂😂😂😂
diablocervantes,18357043675099102,❤️😂😂😂
alysontorres7,18055636126638894,😂
