https://www.instagram.com/p/CTn0jp_DMAI/,hashtags:,#humor,#vacuna,#comedia
username,comment_id,text
nukinonukino,17926718408195369,😂😂😂😂😂
jimchris57,17903036894329858,😂😂😂😂😂😂
pri_son_earth,17925513760838504,😮😂😂😂
hotarumiura,17903362205178326,Jajajaja👏👏👏ya hacia falta un video
zayucita,17998028455365961,😂😂😂😂😂😂😂😂😂
elizabeth_g.aguilar,17941960633569889,😂😂😂😂😂😂
alexandrambar,17881334222441851,@lennyfierro
geydi2244,18200094247098750,Jajajajaja cualquier parecido con la realidad es pura coincidencia jajaja
lizziedarcyy,17862037886570513,😂😂
loren_vela3,18231674260076322,😂😂😂
anacecygch,17890348124382503,Tal cual!!! 😂😂
zoharcruzperera,18202485640099990,😂
fergylemusa,17929340629699291,😂😂😂😂
jesusgabo25,17921408854862768,🤣🤣🤣
lebasi_2869,17863693532555136,Jajajaja😂😂
momlawyer_yane,17972594455429039,😂😂😂😂😂
josh_bhip,18171917791155832,😂😂😂😂😂😂
patricialor27,17936119858624061,Mori de risa 😂😂😂😂
sensesmkt,17924286268731642,😂😂❤️
noemimarshmellow1,18171849175153391,😂😂😂😂
_aracellycarrillo,17843706164651473,😂😂
espaciosbygivana,17929684348705004,😂😂😂😂😂😂
cynthia_zarzosa,17976844177410608,😂😂😂😂😂
bequi_adriana,17902222907291261,@emmanuelheredia92 tu segurisimo 😆
emmanuelheredia92,17930403388684685,@bequi_adriana eres una necia jajajajajaja
yam_escamilla,18087112774285650,😂😂😂
rossanavs,17921733328868859,O sea que si no me tomé foto cuando me pusieron la vacuna ¿No hace efecto? 😢😂😂😂
gisse_fhernandez,17999193019366444,@rossanavs y hasta hora o lo dicen!!!! Jjajajaja
ceciigabi15,18183637888122235,😂😂😂😂😂😂
victor_campos_erosa,17914308991960472,🤣😂🤣😂🤣😂
