https://www.instagram.com/p/CULQ8hzrcm7/,hashtags:,#chichispalabanda
username,comment_id,text
lumaleon,17892788519488385,@tilasesto @ricardomedijo @slobotzky aprovechen!!!
luischan354,17901370070262523,❤️
karinagongoral_,18255927910061569,AHHHHH QUE JOYAAAAAAAA
marielauicabpech16,18253413697007727,Eso es todo tila adelante
mariterebraga,18094957333277346,Mi corazón no cabe de orgullo!!!
rodmarnoemi,17894101655342173,😍👏
rodriguezali22,17890021520394694,😍😍😍 que bueno que podremos verte con ellas nuevamente
frayko_ek,17909523791086755,Aprovecha el viaje pa ir a @lacotorrisa @ricardomedijo que querían armar algo contigo 😍👏
alejandryne,17920843984825992,Nmms! Mis ídolas juntas! 😍
ramvelguy_official,17846342783643876,😍🎉👏
julialeon97,17938076113621537,Cuando podemos ver el video? 👏
greycervera,17886549047354182,Triunfando como siempre!! 👏👏👏👏 Orgullo tuca ❤️
angel_criollo,17913454165923699,¿Cotorrisa?👀👀🔥🔥
lonely_potato95,17898533930181268,@angel_criollo ojala
uay_pay,17943231451532623,"Maaaaa ! Bien allá nené, eres la mera mera maciza de Yucatámmm ! @tilasesto"
jully.ch12,17922499096782635,wow send pic👉 @ultimate_promo_
