https://www.instagram.com/p/CnSarv8DXy5/,hashtags:,#humor,#comedia,#standup,#maluma
username,comment_id,text
ross_rox_roll,18059091805370238,Será cierto? 🤔🤔🤔😁😁😁
guadalupeconcepcionsilveira,18026195962457278,"Quería ir a ver tu show, pero mi hija y su lección de vida, los hijos nos enseñan, extrañaré verte, bueno iré a escucharte de lejos jajajja"
indhirapg,18250063333127580,@not_andre._ 🙊🙊🙊
andd_y._,17987742463657086,@indhirapg JAJAJSSJAJ si es 😦
indhirapg,17963085074321281,@not_andre._ 🤣🤣🤣
beatrizusencalada,18162541480283804,😂😂😂😂😂😂😂😂
irma.nieves.397,17855784959892863,🔥
irma.nieves.397,17951508866265858,"Ay tila como puede ser, . Entonces reventa de huevos, ay  santo cristo.. saludos"
erik14147,18062724982361038,Jajajaja cierto jejejejee
jeovanna92,17996451679575036,Dónde veo vídeo completo?
vivian_17mora,18272400991129080,😂😂😂😂
maria_elena_09876,18001767169583272,😂😂😂😂
claritis11,17854881026857803,😂
nancydelcarmenperezcanul,17974522189976001,😂😂😂😂
soledad1401,17946977618330122,😂😂
danielatello1.9,17895628679737557,❤️❤️❤️❤️❤️chingonaz@!!!!!!!!
rosy_arjona,17905479656705224,Jajaja Jajaja 😂😂😂😂
sara1aguila,17849806934908677,😂😂😂
dulce_m.nava,17937872336565296,Jajaja @yair_yair27
uri_tejero,18007347217529331,@dulce_m.nava  jajaja se paso mori de risa 😂😂
enrique_stm_mejoravit_en_efec,18309780976078819,Ya se te extrañaba mi estimado Osman
glady_espadas1,17876089763802375,😂
akashiya995,17974088608961610,@kevinalarcon2000 @blaze.leon_  no me acuerdo a quien le estaba diciendo lo de El Numero de personas que no tiene sentido xd
kevinalarcon2000,18340124302015634,"@akashiya995 Creo que a mí, ingeniero"
leomendezmusic,18167739271302018,🙌🔥👏🏾chingóm!!!
haunani_ruiz,17963735855035656,👏👏👏👏👏 Jajaja... Cierto!!!
gmg2708,18026199604459122,Jajajajajajajjajajaajjaja weeepuuutaaa!!!! 😂😂😂😂
rodrigoserrano99,18242137531199018,😂😂😂😂😂😂😂
emanuel_cocom,17978133505791383,Buenas deducciones @tilasesto 😂😂😂😂
