https://www.instagram.com/p/CqMCT6IvDZA/,hashtags:,#monologosdelachancleta,#humor,#comedia,#chancla
username,comment_id,text
pedro_gomez_casanova,17944978016632278,La taquilla del teatro Silvina Pinal siempre está cerrada
guadalupe.delriocarrera,18053773993410674,"Todo un éxito en Villahermosa ""Los monólogos de la chancleta"""
demianpachecorios,18248678305086339,jajajaja ya te quiero ver acá en tuxtla gutiérrez chiapas 🔥🔥🔥🔥🔥
maribelhernandez_18,18016982248514289,Alguien sabe si es cierto que el 15 de mayo estará en escarcega campeche ??
karlaortiz_,17905007564757106,Cuando vuelven a presentarse en Merida??
irma.nieves.397,17965291331358650,"No es mentira,"
chulepamplona07,17969316146104968,"Buenísima, sumamente recomendable 😂😂"
danielbaronamx,18240679855089972,Buenisimaaaaaa 👏👏👏
gabbytalps,18201572548245560,"Estupendo monólogo, lo ví y no pare de reír... Sumamente recomendable"
mirs_hdz,18050109388405335,@josueisraelpp
adelayda__barrera,17948692409594076,Amo verlas a las tres juntas son un éxito total. Las adoro.
miguelangel.herreralopez.102,17867649248884020,Me hace recordar a mamá incluso mi raíz capilar y mis orejas se acuerdan de ella 😂
azucenayakamoz,18360596524041553,Jajajaja
angvazmen,18352044517051884,Jajaja muy padre
lauramelguizoperez_official,18241288747086496,La odio. Y mi hijo también... Pero por eso del pestazo.😂
rosarito_tri,17984741362832791,@jccoronaaaa  @adolfocoronaa ❤️❤️
adolfocoronaa,18015772282552904,@rosaritodecorona la chancleta 🎯😟
isolinaenpositivo,17986379200929462,Me encanta😂😂😂😂😂😂
lolita_eb,18236953792163547,¡Les va a caer la PRODEMEFA! JAJAJAJA😂
daktari72,17976796054957691,Súper 😃👋🔥🔥
mariateresa_rubio,18031063246476287,😂😂😂😂
carmita_ecd,17948728295430733,👏👏👏👏😍😍😍😂😂😂😂😂
chicapoetisa,18282502639105831,😂😂😂😂
luannagar,17947984850600967,👏👏👏👏👏 son Las mejores!!❤️
stephaniilira,17912511971711684,😂😂👏👏👏
sinai_godinez,18011488180563604,Yooooiooooi 😂😂😂😂😂😂😂😂
tato_paturi,17860190741877859,Super padrísimo tuve la oportunidad de ir .... Estuvo padrisimooo
diazsolorzaulisesrodolfo,18239919517091420,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
aidaruiznvz,18354056053045559,Buenísimo 😂😂🧡
ananelv_,17969047709248691,@jairomay13 la decoración de Harry Potter jiji
jairomay13,17944041812608384,@ananelv_ Jajajaja estuve viendo detalladamente ❤️
ari.cadu.58,17978657686920241,"Jajaja ,súper bueno kisiera compartirlo x what's pero no sé cómo jaja"
chebolito,18070730758327589,@ari.cadu.58 arriba del video hay 3 puntitos ahí le das y te aparece un menú y tiene la opción de compartir y  desde ahí puedes compartir a whats
teque_art,18015754336548389,😂
william_g_hrdez,17995144381770112,😂😂😂
lylocyv,17981495309058253,😂😂😂
ghettobanana,18034292692427251,Jajaja amooo
mariam_oyarce,17990283739897292,😂😂😂😂😂😂😂
rodo.chruz,18351731317047502,@enrique_piaf vamos a ver esta 🙈
karamelittomakeup,17983441927846961,No manchen se juntaron las mejores 😂😂😂 me fascinan
3rnestito_3101,17877554186794974,"Ya me imagino el hate de las psicologas y las madres de ahora, pero ni modos, la que.......la queso porte"
3rnestito_3101,17928368621573469,Se presentaran en el teatro armando manzanero no?
paola_paolx,17941096517504081,JAJAAJAJJAJ muerooo😍😂
alexa_desing,17976042215122590,Porfavor!! Vengan a Chiapas!! Me muero por ver sus shows juntas!! 😍
anjuligtz,17978424584092206,En donde van a presentarse ? Muero por verlos
omar_viajes,18009238159549173,Donde cuando?
djhardwellymartingarrix.08,17972285399281511,😂😂👏👏🔥🔥🙌🙌❤️❤️ Me encantan las 3
davidcasgo_8,17990173024886917,@tilasesto trae la chancleta cuando vengas a Pomuch porfavor 🫢🙏🏻
davidcasgo_8,18054082228371857,Amooooooo😍
perlitaporras23,17955323183523562,😍😍😍
angelalov.cake,17969325059093337,"Les veo el 29, q emoción 🤩"
