hashtags:,#humor,#comedia,#parodia,#saladdin,#aladdin
post_url,username,comment_id,comment_text
tmaydulce,18086797790316873,https://www.instagram.com/p/DCFTJdIse2S/,😂
20staceyespinoza,17879011728257871,https://www.instagram.com/p/DCFTJdIse2S/,😂😂😂😂😂
ana_lilia.mtz,18094126696539892,https://www.instagram.com/p/DCFTJdIse2S/,Nunca había visto aladdin en yucateco
ederr.garcia,18294983254245559,https://www.instagram.com/p/DCFTJdIse2S/,Un indio Yucateco
manualvarez88,18026325827343543,https://www.instagram.com/p/DCFTJdIse2S/,😂😂😂😂
cunieto,17846565801395150,https://www.instagram.com/p/DCFTJdIse2S/,😂😂😂😂😂😂😂
murilloricardoangeles,17871959772282663,https://www.instagram.com/p/DCFTJdIse2S/,😂😂😂😂😂
maitegarnica5,18055334308877019,https://www.instagram.com/p/DCFTJdIse2S/,😂😂😂😂😂😂😂😂😂😂👏
yunia.barbon,17960709950853577,https://www.instagram.com/p/DCFTJdIse2S/,😂😂😂😂😂😂😂
esti_.fxunu,17865831669243155,https://www.instagram.com/p/DCFTJdIse2S/,Alayucateco
itzz.a.spam._.s,18066333967874202,https://www.instagram.com/p/DCFTJdIse2S/,Download the wrong Aladdin 😭😂
mercedesm_bg,18036532787171952,https://www.instagram.com/p/DCFTJdIse2S/,Oficialmente me encanta el acento yucateco
eli.zabethrms,18057375703996340,https://www.instagram.com/p/DCFTJdIse2S/,😂 😂😂😂
yanelindiego8,18058570123819334,https://www.instagram.com/p/DCFTJdIse2S/,😂😂😂😂
leonardo_santosssss,18171628609316387,https://www.instagram.com/p/DCFTJdIse2S/,Creo que es el. Que dice mamá ya llegó la Navidad no me importa si tu no sientes el espíritu navideño
leonardo_santosssss,18114262090394112,https://www.instagram.com/p/DCFTJdIse2S/,Se parece a la voz de alguien pero no recuerdo quién😮
jessica.lugo.758,17867864745222298,https://www.instagram.com/p/DCFTJdIse2S/,😂😂😂😂
tu__menorcito_17,18024903560338786,https://www.instagram.com/p/DCFTJdIse2S/,Ajajajjsjajajaj😂😂
victoriaflores6036,18054114635088398,https://www.instagram.com/p/DCFTJdIse2S/,😂😂😂😂😂😂😂😂😂😂😂😂😂
anggiecvarell,17850173310355613,https://www.instagram.com/p/DCFTJdIse2S/,😂😂😂😂😂😂
zuriel8431,18032601311223478,https://www.instagram.com/p/DCFTJdIse2S/,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
zuriel8431,18099524158499350,https://www.instagram.com/p/DCFTJdIse2S/,😂😂😂😂
tedeschi9299,18040194983096063,https://www.instagram.com/p/DCFTJdIse2S/,😂😂😂😂😂😂😂😂😂😂😂😂😂😂👏👏👏👏👏👏👏👏
__.alesitaa7,17963337059731293,https://www.instagram.com/p/DCFTJdIse2S/,Soy tu fán en yucateco😂
rooblesitoo,18064824466885859,https://www.instagram.com/p/DCFTJdIse2S/,@el.her3ebia
el.her3ebia,18030735431259712,https://www.instagram.com/p/DCFTJdIse2S/,@rooblesitoo jajajaja
