hashtags:,#humor,#Comedia,#carnaval
post_url,username,comment_id,comment_text
revolu1.aa,18135219793398729,https://www.instagram.com/p/DG1G03-iicc/,😂😂😂😂😂
cecekrone,18065507672500581,https://www.instagram.com/p/DG1G03-iicc/,😂😂😂 nombre el Dr simi en esta colaboración si me formó 😂😂😂
nylicamara,18039257504530091,https://www.instagram.com/p/DG1G03-iicc/,Saludos dsd Cozumel
jaqueline_monterroso,17882484438145062,https://www.instagram.com/p/DG1G03-iicc/,Jajajaja 😂😂😂 El Dr simi aprovechando a la María
gordogustavomx,17901176154152826,https://www.instagram.com/p/DG1G03-iicc/,@jaqueline_monterroso no siempre se puede. qué tal qué le gusta ser sugar
maricarmenbarrosopino,18069856690686751,https://www.instagram.com/p/DG1G03-iicc/,😂😂
cutz_j,18031928831309483,https://www.instagram.com/p/DG1G03-iicc/,😂😂😂😂
cutz_j,18078496030589307,https://www.instagram.com/p/DG1G03-iicc/,Ua t estaban asiendo sangararanga
geopot24,17869915779318835,https://www.instagram.com/p/DG1G03-iicc/,El Simi sugar
soy_emiliano_15,17851282557408701,https://www.instagram.com/p/DG1G03-iicc/,😂❤️
osvaldo_c.e,18469302385069576,https://www.instagram.com/p/DG1G03-iicc/,Dr simi los precios asta el suelo y la calidad asta el cielo
yves_rouses,17858921001373009,https://www.instagram.com/p/DG1G03-iicc/,"El dr Simi donde sea , menos en la farmacia 😂😂"
joannimartinezz,18096487738523229,https://www.instagram.com/p/DG1G03-iicc/,En todos lados menos en la farmacia 💋
demodofokers,18393399379109503,https://www.instagram.com/p/DG1G03-iicc/,Sentías más la barriga que lo que sentías abajo del cimi 😂😂
nacharock,18035068766253106,https://www.instagram.com/p/DG1G03-iicc/,😂😂
soy_luisfajardo1,18048773765218776,https://www.instagram.com/p/DG1G03-iicc/,"El doctor simi: Ptm aquí está bueno para hacer un pinche tuzi,Tuz,tuzi😂"
