https://www.instagram.com/p/DGJiIfzKAQr/,hashtags:,#YUCATÁN
username,comment_id,text
inghectorsolar24,18361871983144659,Confirmo así son y muchas más
lu_baudone,18056463098602163,Dijo persona brillante como DT? Naaaa no va entender nunca
omar_garcia_632212,18049766114565889,Aqui la prueba de que dios si castiga 3 veces
zaldivar.nery321,18053624990103163,Me dolió la cabezaa!
carlosbridiezcas,18065787680140718,Es como borrow
soyanna_y_ya,18073884736989715,"@carlosbridiezcas igual sigo sin entender jsjs borrow es prestar, y lueho que? Jajs"
carlosbridiezcas,17996312813812830,"Nooo, borrow NO es prestar, es tomar prestado, sería “I borrow”=“yo tomo prestado”"
soyanna_y_ya,18065467583183205,"@carlosbridiezcas jaja me estoy mareando😂"" lend"" = me prestas... y ""borrow"" =tomo prestado"
iamromantercero,18526402723024724,"Lo busco, lo busco y no lo busco! Pelaná😂😂😂😂"
reengarciayt,18016687037542407,Aquí dicen *Me emprestas*
edy_block_,18283602448255326,Se pasó de v3rg@
alicia_herrera_del_cueto,17842533870502789,Cuesta entenderlo
jese_jt,17854538679446618,Es como el borrow en el Ingles
jourod,18357361264145083,😍
kodoku_mushi,18039966683304976,"Que haya dicho que a una persona brillante como Donal Trump si le hubiera entendido, dice mucho de ese sujeto (y nada bueno ehhh). No deberías juntarte con gente fea, Tila."
zamahi_con_z,18086131750632542,"Ellos dicen “te presto”

“Te presto $100”
Funciona igual para indicar que yo te di los $100.
“Te presto $100”
Funciona para indicar que tú me diste los $100.

También quedé como Marco la primera vez que lo escuché"
xinduxa,17944022033867863,No sabia q era igual en maya 😮
jorge_enriquez12,18035550317637898,Le encanta Donald Trump❤️❤️
youngwalemx,18015841325524368,"El también famosísimo lo busco, lo busco y no lo busco."
lzrene,17848593681435016,Yucatán es un país dentro de México
adelahernandezcastillo,18038045789313557,"A mi me dijeron una vez, te presto dinero, y pues yo no necesitaba , me quedé muy confundida, en realidad me estaban pidiendo"
shadowman.travel,17883939846271740,Mejor dicho MAYA-TON
an.o_o.gy,18011097404549933,En Tapachula tmb hay personas q hablan así 🤭
chinawonderful,18085360387624687,😂😂😂😂😂😂
nitan_rubio,17901753990156622,"Como la gente que dice ""me hizo infiel"", en lugar de ""me fue infiel"". O el uso de ""ocupo"" en lugar de ""necesito"". 🧐 O ""Engreir"" en lugar de ""consentir"". (?)"
dain23art,18065199067945446,Te presto la pluma (que tú le das prestado algo) super divertido cuando lo escuchas la primera vez.
pabloyessi,18030023117368085,"Lo importante es como el Maya aunque no se hable en totalidad, aun sigue presente en un idioma que invadió una cultura avanzada y una sociedad compleja. 
Gracias @tilasesto por siempre dejarlo evidencia."
maiteperezcortez,18038244509625102,O cuando dicen “andas dinero”
martinezlucio,18044966087111831,"A la ma.dre, no entendí ni mad.res. Ahora explíquenme en inglés, soy pocho!"
victorialetelier,18101230156511916,Es prestada
jorge_aldecua,18315981463204021,Preste atención al video pero no entendí 🤣🤣🤣
meylinhu1,17842311657455675,😮‍💨😔😔
mokacount,18034681022628567,es TransYuca?? 😂
sarelly.q,17900628735155841,"Es como alquilar, la que la tiene alquilada es ella."
albarran.adrian,17852892378420616,Ya duérmanla
el_kiki_mon,17842017816458155,El maya si como no. A los yucatequitos les falta mucho para ser mayas.
djmata92,18050575109014595,Cómo los chiapanecos cuando piden dinero prestado (dicen te emprésto dinero )💴
ygo_feran,18072643330837141,Asco mil
jorg_manz,17918175999077586,Yo no entendí 🤷🏻‍♂️ eso es robo pelana
ari.vargas.go,18498359758004786,"Lo vi hasta que Lo entendí, gracias."
jean_7u7,18099164173463472,Quedé Bomba!
tonicolombianito,17975575373703676,"Al principio no entendí nada, pero lo último tampoco 😩😩——————>>>"
paulhgm01,18334576780090515,No entendí tampoco
elizondoangelica1,18047743481522362,"Eso no lo decimos todos, no generalicen"
edu_fernandez17,17902402494113129,
javizaytres_,17855359179352823,nombree por eso bufan a los yucatecos!
itzel_mexa,18493453381048067,Mi primer shock yucateco fue a los 6 años cuando una Andrea me pidió prestado un tajador.
violelinette,17943595835969091,Escuchar tantas veces la palabra *prestar* como que sentí que es una palabra inventada 😳🤦🏻‍♀️
alejandromanzanilla00,17938858151973037,El maya lo tenemos hasta en lo más recóndito de nuestro bobox
gostavossilvarios,18496857781032067,En Maracaibo.. coro . Y parte de Lara en venezuela es igual..parte de la costa colombiana también usar ese verbo...asi
armandcalztor,18033524372310792,Es como necesito y ocupo 😂
mariafelix.aguilar,18349566331197006,"Es verdad mi pareja es  yucateco y dise busque  el control del TV, y yo me enojo y le digo no buscaste lo encontraste! Y aveces me eccabrona."
silviagonzalezvalle,18060468305081917,😂😂😂😂😂😂
miguel_ortezuma,18050919941190325,cada día más enamorado de la cultura yucateca
soyluisaelias,18037858061226686,Ohh que cool 👏
zielogr,18034630295554498,"😂😂😂😂😂😂 definitivamente es lenguaje yuca esta pasadoooo …. Pero ajá no los trates de corregir xq, ya valiste nene"
elto_dasmias96,18027196739374819,"Wey no inviten a este tipo de ""comediantes yucatecos"" que solo se humillan y humillan a Yucatán 😡"
tilasesto,18090224077569637,"@elto_dasmias96 pos te tocará soportar! un buen rato, quieres cremita para tu ardor?"
elto_dasmias96,18089962081510221,"@tilasesto llévatela para tu esposo, luego le arde cuando se quita su prótesis jajajaja😂😂 mejor calladite"
frank_pererod,18003925700762439,@elto_dasmias96 wey ya no estas en la escuela mamón
fer_dt_cd,18023878532448375,Ches Yucas...
orlandolluckjr,18083316787716620,@vickywolff  LO BUSCO LO BUSCO PERO NO LO BUSCO! 😂
robbielugo,18049159166465661,Ya he lidiado con esos yucas que hablan así jajajaja
fran.gmx,18074238724652357,¿Quién me jaló mi cabello?
anasguevaraa,18076304911775854,“Ya me quité de ahí”… ya me fuí jaja
carlojcc,18029569793638313,Me dijeron te alcanzo y que me voy jajajaja anécdota real
samuel.sigsam,17847363579430298,"Es como alquilar o rentar, tengo la casa rentada,"
gracidarod,18321374308205993,"Donald Trump, una persona brillante????"
delizgz,18217331380292079,"Solo los yucatecos entienden el yucateco,"
braulicazas,18088932817576412,😂😂😂👏👏
iclaussen_,18101118808507052,Una persona brillante como Donald Trump si lo entiendo . Jajajaja se te ve el plumero!
_adanmx,17889258363210761,En realidad cuando quieres algo prestado de otra persona. Le dices te presto tu pluma 😂 a lo mejor el nervio le ganó y lo explicó mal
jessicadaura,17903205321035499,Lo vi varias veces no entendí 😢pero si me reí ☺️
estherleal12,18033389123545217,Primero las clases cucho por favor @kikeescalante
_elmojica,18115115671460488,@soymarmatos me explicas ?
soymarmatos,17961713741899620,"@_elmojica JAJA la verdad eso no lo entiendo tampoco jajaja , otras palabras raras si 😂"
borre_aguirre,17852121471410194,@zoe_hdez
hitomytendo,18166558786328372,Ay nanita 🙈
shefytm,18073369684746289,Maya tones !
tushachan,17918429999961478,El famoso Negociante!!!!
sergito1125,18003439967727795,Como rentar
silvergirl.mx,18084371443542574,@pacoblingbling 😂😂😂
y.a.y.a.2.9,18132561016394316,😂😂😂
kevinmckeell,18049238579216300,"Es como Rentar
*Estoy rentando una casa (yo pago renta porque la casa no es mia)
*Estoy rentando una casa (la casa es mia y se la rento a alguien mas) algo así no?"
lupita.iglesias,18002431016738396,Quien me jaló mi pelo ?🤣
itsmagda3.0,18045085910344491,Me pareció muy interesante eso de que en Yucatán tienen esa forma de hablar por influencia del Maya 😮 🙂🙂
dan1el_mendez,18071444488828827,"Es como cuando decimos ""lo renté""."
kevin.zwpeda,18041405891148313,Por qué no solo hablan bien
pedro_zaleta187,18068227810859537,"Entonces cuando dicen quien jalo mí cabello ,  a qué sé refiere"
bereniceft25,18057375395041396,🤔bomba 🤭
bereniceft25,18019853849671014,?????😂
binaryandbeats,18094043851558005,Trump brillante? 😂
chr_istianlp,18078617017584170,Pues dile que par que vea que no solo el trompas es brillante
azu.feminanzas,18009008627526834,Jajajaja
ani.mtzc,18048852974518366,@yereniad
nochespurpura,18068556481895173,😂😂😂
lezlyhainez,18036530216230015,Igual en Chiapas! Jajaja trauma entender eso jaja
cuervoduham,17953142531792859,"""Una persona brillante como Donald Trump""!? Definitivamente Regil ha cambiado o sacado su verdadera personalidad con el paso de los años... Y lo digo como algo completamente negativo"
carola_juarez95,18218179288294509,Persona brillante como Donald....
149.5978707e9,18061924354801884,Hablan con el xic.
androsleguina,18448000690076148,Tenia una amiga de ahi que decia. Te presto mi peine! y mi tia se la quedaba viendo y respondia: pero no necesito tu peine. yo tengo el mio 😂😂😂😂😂
hii_coco,17902649934102496,Soy yucateca y tampoco entendí lo que dijo 🤷‍♀️
alejandromanzanilla00,18085158310540537,@hii_coco yucafresa dirás.
mcjayproducer,17900997906131145,El para que cosa de quee??? 😵‍💫😵‍💫😵‍💫😵‍💫😵😵😵😵
fernando_caamalrx,18050480909246019,De donde sacan eso??
dulos69,17876136138183304,Me quedo con el Nahuatl
angieruvalcabagonzalez,18271973269254763,"Todos atacados cuando Regil menciona a ""la persona brillante"", ya nadie entiende el SARCASMO"
magaly_zahe,17901457608129725,"Es la explicación más fácil de entender de por qué hablan asi😮 me encantó, todo por la traducción del Maya ❤️ 👏👏👏👏👏👏👏"
jckraquen,18111630847462166,No entendi ni madres
jesusfreyes,17844705138418566,No pues maya  e inge a su mdre
elen_perez_822,18059124364997189,Así pasa con los tiempos verbales... O al menos así lo entendí
albertochavolla,17957807810874269,30 años y sigo sin entender sus modismos.
rauljuanluis,18092013784483745,Otro más q saca el verdadero cobre
franciscojavierencalada,17854942275391037,"Que vergüenza  por culpa de estos cómicos se rien de nosotros , nada de risa"
ferdinando.a.fonseca,17886149661209667,"O sea, al revés todo 🤦🏻🤣🤣"
florliles,17888660889197720,“Una persona brillante como Donald Trump si lo hubiera entendido” 😂
krola_gaona,18063534670765000,"Es que en maya lo que le da sentido a la palabra raiz es la declinación, como el latín o el euskera, los sufijos y prefijos son los que dan sentido"
pareja_patricia,17984508269797949,❤️
a_varelat1,18108517639476166,"Jajaja yo tenía un compañero en la primaria que que así decía cuando pedía prestado algo, siempre me quedaba con cara de 😳"
marywho_09,18004112231555581,Es hombre ho mujer ??
aliana_110592,18065336302918938,😍😂
jessieewallsss,17894489541157382,@jessicatreppiedi jajaja jajaja jajaja 😂😂😂
tristan_jedith,18049336283005315,Como dice que dijo? 🤔🤭
anamorfico_mx,18006465647708082,"En la cosmología maya , la palabra encontrar no existe , porque uno no encuentra , más bien busca."
ortegamayoral,17848953369409245,@vickywolff
barrygon1,18074700445706153,Tila agarra a un mediocre de televisa.
paulina_reypra,18030358892559370,@vickywolff ya entendí de dónde deriva todo el problema 😂
yucaxtleco,17884414671125528,"Que onda con la imagen que sale al final... Ese no es guerrero maya, no se ve moreno y menos usaban ese tipo de espada. Hubiera quedado mejor un mestizo."
sergio.cordova.3388630,17957456177869850,😐🫨🫨🫨🫤🤔🤔🤔🤔😵‍💫😵‍💫😵‍💫🤨
jessicacarrilloesquivel,18076998487638981,😂😂😂❤️
lili_armonia_y_abundancia,18102139108493340,😂😂😂😂😂😂 da mucha risa!
carlos21narvaez,18130659748365139,😂😂😂😂😂
mary_91bocanegra,18321203410165600,Osea GIL  como que de una persona brillante como Trump. Que mal tu voluntario tanto como lo que pasa  y las ideas tan gachas como averle dicho indirectamente ignorante o poco inteligente que horror
180_ht_barbershop,18038366753428981,Otro que esta cancelado 😂😂😂pobre prrrrro
diana_gruintal,18072876205740077,😂😂😂😂😂
lifeof_jaytee,18035223824214171,Maya hablantes hahahha
srobles17,17898740364139325,😂😂😂😂😂
lizoredi,18031603886629353,😂😂😂😂😂
jonyjacwolf5,17902303797100509,👏
veganbeauty_andmore,17847381732411288,Amo Yucatán y la maya
emiliano.arellano1,18034143047622656,otro perro trumpista
borghellapopperella,18045252623345423,Megaaaa
alejandraguayaba,18337377274157559,Me encanta a mi los Yucatecos!!
bettylovesau,18076563601663362,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
lugoenes,18058642786994179,A lo maracucho.
lemo3986,18366673723192007,Ta bien wey
doar3103,18037192697452564,"Esos yucatecos son bien sabe cómo 😟, se deberían de independizar para que ya no pertenezcan a México jajajaja"
lizzyliz.lv,18071311957773408,Soy de Tabasco y le entendí muy bien 😂😂😂😂
victorhugort,18072665554741582,Pendejadas
lupocandanoza,18038999516383957,@isaacomarduarte esque  no se les entiende !
monpavano,18014060135694110,Yo nunca entendí eso. Mejor preguntaba ¿Necesitas que te dé ... (Ejemplo: 10 pesos)? ¿O qué si yo necesito 10 pesos? Jajajaja
zuriel_rey,18059818013312727,"La primera vez que me dijeron ""te presto feriado para el tucsa"" 🥴"
yordanromero_,18361446631133621,No está correcto ese español mal uso de los vocablos
throughmyeyes_0810,18055500038486070,"@yordanromero_ ""No es correcto ese español, hace mal uso del vocablo"", así se escribe correctamente lo que quieres decir, hasta una simple coma hace una gran diferencia. Eres muy bueno para criticar/opinar y muy malo para escribir, deberías cuidar tu gramática y además entender que no es un mal uso del vocablo estrictamente en estos casos, ya que se considera regionalismo lingüístico, ya que el Maya es un dialecto que aún se habla en ciertas zonas y mezclan las palabras con el español o se adoptan o se ajustan,  así como dicen en el vídeo, se tiene arraigado el maya al hablar."
yordanromero_,18024871247380329,@throughmyeyes_0810 cierto
felix_mendoza94,18064052587760644,@yordanromero_ jajajajajajajaja mejor cállate
lifebythesea7,17882826330146276,@throughmyeyes_0810 alguien que estudió lo sabe
odca_odca,18036527132621255,@throughmyeyes_0810 tiene la mente completamente llena de razón.
plnkish,17852378865452706,@throughmyeyes_0810 El Maya no es un dialecto. Es un idioma. 💛
alfonzobricenom,18096056809616669,"@yordanromero_ Descolonízate bebé, escucha lo que ella tiene que decir hasta el final, o hasta que le entiendas"
yordanromero_,18259757929275574,😮😮😮
carmeneljure,17956029908868713,Huay! Está igualita a Ivonne Ortega 😂
adan.narvaez,18002923325563401,"Prestar y pedir prestado es lo mismo, misma palabra"
jonarendonn,17869751052224377,🙄👍
silvialeps9,18065507020909268,@jonarendonn pero si hoooola! Nos entendemos a la perfección y a las pruebas me remito. 😂
joseav29,18257540827285895,Lo de la persona brillante fue sarcazmo vdd??
loltum01,18027779855337118,"Ve con @adelamicha , esta crack ella, super amena"
loltum01,18023422025388912,Que maravilla..... pos mas entevistad
perlamontielofficial,17892573534172207,Ay no entendí
jorge.agnorve,18078818185564123,😂
kronoz1945,18041687801585053,Que idiotez.  No mezcles español y maya.
jjavierolivar,17919511586948549,Justo iba a poner un comentario similar
sya_sports_,18070725550835734,Jajaja en Chiapas es similar😂
nellyartlover,18036473411527792,😂😂😂😂
andremucinote,18058485614310688,O sea por eso 😂😂😂
gaboguerrerophoto,18260847091273064,"De los creadores de “Busco, busco pero no lo busco”; “se pintan casas a domicilio”, llega esta joya …."
jesusuriasr23,18105844912472193,Maya  te😂
alejandro.delta,18028732154324902,"Es como cuando dices:
“Te pido una disculpa”
¿Por qué carajo le pedirías una disculpa? La forma correcta es “te ofrezco una disculpa”"
