https://www.instagram.com/p/DGjfnIxhrsr/,hashtags:,"#BadBunny,",#humor,#comedia,#standup
username,comment_id,text
david_dominguez_135,18092124157566030,Jajajajajajajajajajaja😂😂😂😂😂😂👏
_israelito_32,17915292309079513,Tila mira mi publicación 😢😍
arry_wolf_,17907126381097035,😂😂😂😂😂😂😂
turixtiandocaucel,18335058181095183,😂😂😂😂😂
erosacaceres,18374342143187759,Jajajjaaajaajajaa😂😂😂😂😂😂
janetsola67,18089747389560100,😂😂😂😂😂😂😂
nancyguadalupelopezyam,18038894399420315,👏👏👏👏👏
sweetstarolvera,17923824476930849,👏👏👏👏👏
ecanvaz,18098108047514905,❤️ Me encanta 🫶🏻
anahi_1977,17952139388924303,😂
helenakaliope,18113794243459059,😂😂😂👏👏👏
acorraladadeseo,18070833391660825,FELICIDADES MI AMIGA ERES ESTUPENDA UN MEGA ABRAZO
jessicacarrilloesquivel,18329532190084847,😂😂😂😂
amy_rozely,18025100171381187,😂😂😂 👏👏👏
_theweirdgirl_303,18043968143096732,😂😂😂
victor_monroe,17958625700908266,😂😂
roberto_elizalde_mexicocity,18033547481573663,👏👏👏 buenísima!!! Jajaja
el_gen_c_bitch20,18016021598695290,Pero el cu10 que estudio tenia infección intestinal?
tony.landero.129,17937273719864956,@el_gen_c_bitch20 concuerdo con tu comentario jejeje👏👏
ana_parga92,17895911715154727,
mayi.silva13,17858779668307014,Jajaja a mí también me caga 🤣🤣
lucilakarinacoronagarcia,17988564635790249,
aracelly_ucan,18110521420463408,👏👏👏😂😂😂😂
davidgarza74,17856450021326920,😂😂😂😂😂😂
silviadimx,17956955585911547,🙌🙌amo
pattyhmmacias,18026163605342284,😂😂😂
yacel1313,18069598708867398,😂😂😂😂😂😂
inghernan,18054535802287946,😂😂😂😂😂😂
checomotoblog,18048723032251500,Jajajjajajajaj
