hashtags:,#CDMX,#50SombrasDeTila,#standup,#comedia,#humor
post_url,username,comment_id,comment_text
olvera.gely,18052870607067519,https://www.instagram.com/p/DHM2dXLM45j/,😂
divaleria4ever,17856654498397261,https://www.instagram.com/p/DHM2dXLM45j/,@alzubii86 aaahhhhhh
elviraaraiza,17968886387731140,https://www.instagram.com/p/DHM2dXLM45j/,"Me encantó, felicidades!!!!👌👍😍
@tilasesto"
bracketsvalladolid,18183611290312330,https://www.instagram.com/p/DHM2dXLM45j/,Eres mi comediante fav y no soy de Yucatán pero desde que te conocí ❤️
hilda_zalar,18060512249293056,https://www.instagram.com/p/DHM2dXLM45j/,Te vi en Veracruz y me encantó el show👏
anna_ramiirezs,17899384746057854,https://www.instagram.com/p/DHM2dXLM45j/,Sin duda fue lo mejor ❤️❤️
monibb3,18013254281703984,https://www.instagram.com/p/DHM2dXLM45j/,Un placer verte en vivoooooo😍😍😍
hrhjohn,17943183371841318,https://www.instagram.com/p/DHM2dXLM45j/,Oh dios mío cuando saliste pegada a esa gran X 💀💀💀
thebazileangel,18057953227891113,https://www.instagram.com/p/DHM2dXLM45j/,😍❤️ 🔥🔥 sin duda  soy tu fan !!!
marcecollivillamor,18261086431274802,https://www.instagram.com/p/DHM2dXLM45j/,👏👏👏👏
pau_nasa,17903778771103626,https://www.instagram.com/p/DHM2dXLM45j/,😍😍😍estuvo increíble
