https://www.instagram.com/p/DJ6-tPpP5GM/,hashtags:,#comedia,#humor,#parodia,#mestisayayinas
username,comment_id,text
dada88_,18393373777119560,😂😂😂 es buenísimo!
hekthor791111,18042320225537925,Toda una ODA a los videojuegos 🎮 ❤️❤️❤️
4ever2getheru,18356678191144867,Asie s como debió haber sido la película de Dragón Ball😍
charlyvillafana,17913033846015451,Woooow yo quiero jajaja 😂
paosandoliv,17880896013311722,Jajaja
jdiegoae,18343021117085993,😂😂😂😂😂👏👏👏👏
alonsocuellar91,17976352367714512,AMO ❤️😂
dinamomina09,18045725444614444,😂😂
noemig039,17869267860281600,😂😂😂😂
martinsalazarontiveros,18064571342042647,😍🙌
elyzaa_beth,18043822490405736,😂
daisacastillo14,17893796340233812,Cuenta la leyenda que así se agarraron unas mamás en una escuelita que conozco 🤭
robertqueb,17873426367351463,Han de haber terminado con el rixpi bien sudado 😂
laurismays,18115914382469096,😂😂😂
a_bony_,17866486209390168,😂😂😂😂😂😂😂
asvald_louis_456,18068682628808051,Tila sacando el ultrainstinto
edgar_chan12,17957751023943703,😂😂😂😂
srobles17,17958037574943972,😂😂😂😂
amelia10946,18033089504375644,😂😂
leonita.es091,17844214188478990,Ya no se si poner el audio de mortal Kombat o el de dragón ball
catzinelvira76,17927437242063636,😂
mocha_bully,18057717785224714,😂😂😂
chilaquil_chilango,17928962352053742,
nachomood,18504891844033520,Mucho mejor que Dragón Ball Evolution si está xD
miguelgmoseler,18022092389704683,This reminds  me of kung fu hustle landlady..
jableo80,18029033747662128,Respiración de gorda primera postura jajaja jajajaja jajajaja
