https://www.instagram.com/p/DJe3wkisxy5/,hashtags:,#10demayo,#comedia,#sketch,#madres
username,comment_id,text
alternofreak,18322218358201889,Esta increíble 😍💖💕
celis.gabi,18048579785591852,😂😂😂 hay hija Dios mio 😂😂😂
ugaldealex.923,18403578154102139,😂😂 feliz día a la mami de esa niña! ❤️ Chulas tus hijas!
lic.eleanor,17908223247137107,😂😂😂😂😂❤️❤️❤️🔥🔥
bojorquezordazanaesther,18082053184674906,❤️❤️❤️
_lendymedmen,18060242347920050,"No haaay falla, si es tu hija manaaa 🥰🥰🥰🤭🤭🤭"
rodorey66,18028489508427405,Jajajajajajaja
militayo,18043364321202608,❤️❤️❤️ jujijujijujijaja lindaaaa
ajodeandyarjona,18386846890137492,"La tía Tila es muy afortunada, tiene una hija Otaku."
hla9413,17892595290232842,😂😂 genial
beatrizusencalada,18067292809814627,🤣🤣🤣🤣🤣🤣
kanae_aloha_deyanira_kristal,17865109455303835,"Son duda el ingenio de la mejor, la tila 🩷💐😎"
alejcont85_,18071297332935998,👏🙌
mariarlopez12,17853128259397441,Chingales ! 😂
fabiolaperezleon,18138608254394880,😂😂😂
this_is_almas_ig,18092939182526148,Jajajaj
ysygem,18069135817784005,pregúnta que me hizo mi hijo a los 5 años😂😂😂😂
rubyconcepcionperez,18044378624426687,😂
soyluminosa89,18064288595048059,❤️❤️❤️❤️❤️❤️
delia.cruz.gonzalez,18068267404802377,😂😂😂
davidgarza74,17912097996013621,😂😂😂😂
luiigiiniie,18222277450295621,❤️
karla_et25,17875543263338119,JAJAJAJA Lo amé 😂❤️
patyduckling,17964472970867909,Jajajjajajajajajajajjajaj
any_08_01_90,18101698945470355,😂😂😂😂😂😂
majomexico,17934581775037885,😂😂😂😂😂 qué bello poema 😂😂😂
guillemorelos,17883287070277723,👏👏👏👏👏👏
anairda_luc,18080724049743418,😂😂😂
zayucita,18101211901476693,👏👏👏👏👏👏👏
samedd28,17861430288404171,😂😂😂👏👏
wuimatt,18068142136802944,😂😂😂😂😂 😍
jovi.ruiz.3,18047723093606329,😂😂😂
arry_wolf_,17942455257002755,😂😂😂😂😂
liz_fer_ft,17904025002056649,😂😂😂👏👏👏
elsybarbudo,18114696274466442,😍❤️👏
nizotto,18136687504406134,😂😂😂😂
sandra_cleverley_,18137216875405221,❤️❤️❤️❤️
uquillas.paulinar,18078161242827186,Extraño a kalesi
januvi10,18066096359007320,😂😂😂😂😂😂😂
yves_rouses,17905238892051321,"Weputaaaaaa chiquita, te dejo rojaaaa @tilasesto 😂😂"
marianitamartin,18086271181566761,Bomba
