https://www.instagram.com/p/DKP5qdjg7Kl/,hashtags:,#humor,#comedia,#tilamariasesto,#mclechons
username,comment_id,text
la_luna_de_jullietta,17967403592955461,❤️ tila me hizo tener amor a Yucatán 😍
teresa_mendozza,18362099908080447,Que gana de contestar a si 🗣️😜😂🤪🤣
davidpega01,18055103339261346,Redondeo de 275 a mil 😮😮😂😂😂😂
ukio_jewels_chile,18006838370596909,😂😂😂😂👏❤️
aarones_pat92,17870177838401057,JAJAJAJAJAJAJAJAJAJAJAJAJ
joserra1870,18428105374104846,😂😂😂😂😂😂
liz_fer_ft,17927445003061220,😂😂😂
mejiadamiangalindo140,18026228294740411,La atención al cliente es su pasión 😂😂😂
luis_mt_guy9001,18115905040534733,Bomba lindo 😂
michelle.torresaguilar,17915076993154859,😂😂😂😂😂
gusman.lr,18197720878321819,Atención al cliente es mi pasión.❤️
teque_art,18476293408068836,😂😂😂😂😂
franciscojaviergomez403,18085575424791268,😂😂😂
franciscojaviergomez403,17946802638049824,@franciscojaviergomez403 hasta donde emos llegado ahora asta son transcomediantes
jes_cruz8,17968523951964991,De tanto verla ya ablo igual que ella 😂
celayito08,18057868577238942,Y si serán muy malhablados los yucatecos?🤔
enri123vlz,18349302484157749,😍
hugoelsud,18084448619066603,1000 pesos! Jajajaja 😂 😂 😂 😂 😂
jdiegoae,18068109401488787,😂😂😂😂😂😂
leandys_quintana,18050646254651919,Me recordó a la señora de las locuras del emperador la del restaurante 😂😂😂
adrianhp81,17985585620681273,😂😂😂😂😂
alejandrocrispin6,18069861920202690,😂😂😂😂😂😂
georse04,17935390869023297,😂😂😂😂
boni_free_12,17869340466380662,😂😂😂😂😂😂
gerardogonsalez13,18046690046182445,😂😂
thehernandez30,18188391628339645,Esta señora debería esta en un subasta de caros jaja
bar_bosal,18071271686163790,tiembla nicki minaj
oliviaromerotorres,18051681926365406,😂😂😂
dela.cruzz08,17957682872883864,Yucatecas?
angelitochapin,18060613352222370,😂😂😂😂😂😂
armando.noya1,18098276836838872,La contrató  y la nombro empleada del mes
dany4_973,18050669399654687,😂😂😂😂
yonglz95,18082852070061864,😂😂😂😂😂
ramirezmendozaramon,18050284490356354,😂😂😂😂😂😂😂😂😂😂😂
ailama_liag.v.115,17985530606873059,😂😂😂
carlosnavarro.f,18144385441431655,😂😂😂😂😂😂😂😂😂😂😂
aguilarapaez,18068921972603639,Los yucatecos son un desmadre 😂😂😂😂😂😂
dan.__txs,18083372993071579,😂😂😂😂😂😂😂
pakkistan83,18119375854543620,😂😂😂😂😂😂😂
sander_sacrapal,18082968455510862,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
eduardojimenez6710,18085429378958906,😂😂😂😂
soccer4diablos,18091859752730373,😂😂😂😂
chester_avk,18101503051589950,😂😂😂 tampoco le voy a solucionar su vida
compmex,18086947337504234,Me senté periodista entrevistando a Claudia. 😂 🇲🇽
azahel_sandoval,18314613235220553,El doble tempo que se aventó uffs jajaja
6060alfredo,18072378667994765,😂😂😂😂😂😂😂😂😂
albino.hernandez.545,17959065290867699,😂😂😂😂
oficialsarita7,18409526797190258,Minimo puedo decirle lo q piensa Nadie merece ser tratado así aun uno este pagando
oscarcflores7,17952307142897262,@nos3quehacer
87.24302,18046554131408894,😂😂😂
kl01503,18134253817466930,😂😂😂😂
jd.gv24,18100139341658569,Jajaja 1000 pesos jajaja no te mames jajajaja
karol_leyva,18535468396051896,😂
jaime.reyna53,18183767482344436,😂😂😂😂😂😂😂😂😂😂😂👏👏👏👏👏👏👏👏
ceanguso,18526215412023790,Jajajajajajaja exelente !!
guerreiro.drago,17850305508575417,😂😂😂😂
oscaryamircarrillo,17955180152882229,😂😂😂😂😂😂😂😂😂😂
the_chamakitto,17896302501323757,Pensé era velorio
victor_lobat8,18336370510230162,😂😂😂
juanlopez5384,17929780530108821,😂😂😂😂
frajovargoz,18113925058480098,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
lapulga991040,18074108540173182,😂😂😂😂😂
daviddg7980,18129641176478531,😂😂😂😂😂😂😂😂😂
blancavzq,18003527792650265,😂😂😂😂😂
richard915370,17976628040764254,😂😂😂😂😂😂😂
beavershark47,18105483589598060,ta barato
emmanuel_fhernando,18165213994364587,😂😂😂😂😂😂😂
1nkr34tuz,18119996257459148,😂😂😂😂😂😂😂😂
jhonriut,18479493163065724,😂😂😂😂😂
