https://www.instagram.com/p/DM0zbq3hdzl/,hashtags:,#humor,#comedia,#amazon,#shein,#comprasenlinea
username,comment_id,text
carina_laporta,18076281547778928,Jajajajaj
durgamakali,17886712290205563,😂😂😂😂😂Jjjjjjjajajajajja si. Una sale toda sarrapastrosa y tienen la insolencia de pedir foto😂😂
pbelitagp,18019454888742224,Exacto!!!!! 😢😢😢
bojorquezordazanaesther,18056526491580628,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤭
rivero_leandra,18049478420623372,Me pasó jajaj
brito_j_lara95,17914994514156857,😂😂😂
geshuem,18014501684584845,Perdón... Comprar Shein es de pelanas
riitaheredia,17864201769374575,😂
chefcita13,18086014831642295,Si soy jajja
p__mzr_,17951403359862870,@daliarmunoz  el repartidor tomándome la fotona jajajaj
