https://www.instagram.com/p/DRacVyCjS7I/,hashtags:,#exoterico,#astrologia,#horoscopos,#comedia,#humor,#tilamariasesto,#fernandaislas,#fblifestyle
username,comment_id,text
divinoj3,17956398788892402,Soy el suertudo Capricornio 🙌🏻🔥
vro2129,18081494177110610,@divinoj3 presumido 😍
divinoj3,18390817090182360,@vro2129 😂😂😂
susu_rod73,18071392880606594,Neta ya no sé qué creer de Plutón 😂😂😂😂😂😂😂😂😂 me a dado una paliza?
rociomusicalpanda,17852247798591359,"La verdad, qué año tan delicioso, se agradece ser capricornio 😍 (Este año, a ver si los siguientes no andamos haciendo pura mama... 😂)"
berna_rs_,18157108372365614,Soy tauro ! 😍😍😍😍
axelcisneros505,17980812161938388,X2
nadiarodriguez2976,18060329582244555,Jajajajajaj muy divertida manera de darnos el horóscopo 😂
taniaisabelle09,17932691739111653,Eso es todo lo que tenían que decir de acuario?
docampofca,18082456673020247,"Exacto!!! Ya déjame Pluton 😂😂😂 me lastimas, ya no quiero 20 años más 😂😂😂"
val980312,17902850679295803,Esperando que hable de pisicis 😂
arceo_adrian,18074603405213631,JAJAJA 🫰🏼✨
claudiacerda,18174755161369912,Soy escorpion!!!
rinkashimiku,18350475115205276,"Oye, como que sin talento 😂😂😂😂"
yen_coxs,18088516405993972,Plutón inga tu mad... Jajaja 😂 como que 19 años jaja amo ser ♒
blaancaconce,18068079629580215,Cómo ♒  ya n no más Pluton suéltame !! Me traes como piñata 😂😂
arieru_29,17909279517125718,Heee mis casinos noooo y que tiene a mi me gusta y que tiene
vro2129,17888019597262295,Aquí acuario bien nockeada 🫩
divinoj3,17969187254825509,@vro2129 jajajajaa moriiii 😂😂😂😂
_limon_ada,17974370336972131,Enfuerzo mata talento
_limon_ada,18109989793631373,Me encantó y entendí virgo
angelessalinas412,18086351351477716,Gracias libra
ka_david,18075297785005911,"Sagi tuvo que pensarlo, si es q no pudo ponerle trabas 😂😂😂😂😂😂"
israeltorrs,17853069573592114,Jajaja que me Aleje de los casinos 😢😂
chelita.martinez.79230,17905620900143673,😂😂😂😂😂😂
ara_lomeli_,17969181347993575,🤭🤭
arieru_29,17927460342160931,😂😂
ines_candia,18091866704502735,Que tan malo es para Acuario?
ines_candia,18088660184488598,Por Dios!! 1
alejcont85_,18047727575443830,Jajja dijiste virgo... No webonees
mujerdtbl,17912097936251612,Soy leo ♌️ y como me reí😂😂😂😂
twilightmain__,18092923681895973,👏👏👏😂😂😂😂🙌🙌🙌🙌❤️
schneider_72s,18546976108022662,No la pelan a los de acuatio
susana_trivinov,18028015418764580,Jajajaja 👏👏
carmenfelisamaidana,17900715234330397,😂❤️así mismo!
patriciaok,18031555364741994,😂😂😂😂👏👏👏
alondravelazco,18106516297726458,Capri in the house 🔥👏
chefdavidcetina_oficial,17935976742106390,Jajaja 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
lucas.cucu,18056743205647824,Ocea ya vali madres ya no puedo 😢
yaki.magenta,18108971644549075,Jajajajaj me quedé a todos los signos!
jessaminalana,18094431451843375,Escorpion 😎🖤✨ la cochinada jajaja
juliolvera7,17991382868891280,Las cabras 😎😎
laura_alejandra_gl,18058701389275851,❤️
monikat2015,18159789997402120,❤️❤️❤️
_lunamef,18095365216854562,😂😂😂😂😂😂😂
fatyoliveros,18071897354584736,😂😂😂😂😂😂😂😂
valeshak_1521,18058532513272273,Jajajajajajaaja🤦‍♀️
