https://www.instagram.com/p/DTg1h8bDDJp/,hashtags:,#México,#humor,#comedia,#fblifestyle,#gira,#tilamariasesto
username,comment_id,text
barbrjn,18062164310290196,Felicidades👏
nery.gh,17970248399842509,Regresa a Veracrujjj 😍
chipiturko1,17907452379335291,Donde se compran los boletos ?
mauharosinger,17872283772413281,@chipiturko1 yo tengo 4 en primera fila
chipiturko1,18147583366403091,@mauharosinger  en donde puebla ? Cdmx ?
charly_cazasan3,17895743862240330,Tijuana considéralo !!!
cin_aguilar_06,18109671193714550,Aunque nos avientes mieeeerda a los campechanos nos da un chingo de gusto por aquí siempre te queremos felicidades
susanalopezzz,17993351612909252,🔥❤️ Mucho éxito queridos 🙏🏻 @jeffreyquintalmx @tilasesto
jeffreyquintalmx,18077575313522867,@susanalopezzz muchas gracias 🙏🏼🙏🏼
anarosaortizmonreal,18421751197143940,Ya lista y bien puesta para disfrutar @tilasesto
