https://www.instagram.com/p/DTwkrxuj72T/,hashtags:,#socialchange,#quote,#FrancoEscamilla,#lamole
username,comment_id,text
sarahcherres,18343804723228004,😍😍😍
angelalexander187,18162635533396554,👏
showcastillo,17926111350198700,Cenaste 2 veces madrina 😂 jejeje saludos un placer tenerte con nosotros ✌🏻
addycarballocanche,17923466046228154,Felicidades ❤️❤️❤️
tilasesto,18086951654029124,@addycarballocanche muchas gracias chula!!
angelalexander187,18406040620192557,Con los top globales
nancy.daniel27,18119155735517136,Me encanto verte en los amos del universo ❤️
daninoveloo,18065431820634645,🙌 pff
tilasesto,18182289109363279,@daninoveloo 🥰🥰🥰🥰
josue55s.l.p,18007502327829860,Nosé porque veo la descripción y la leeo como yucateco
strangee.c,18084876308147004,"🙌🙌🔥 aquí del tin del jefazo franco del mero patrón,, rifas bien cabrón Tila 🙌🔥❤️"
tilasesto,18074266589100223,@strangee.c gracias!! 💪🏻
