https://www.instagram.com/p/C_wD3MPp1KB/,hashtags:,#teamchaac,#chaac,#poseidon,#telchac,#progreso,#anime
username,comment_id,text
la_dope_brand,17945701982844800,"Me enamoré de P.P., fui en Diciembre y pretendo regresar pero ir a otras partes"
ramon.morfin.31,18158871160357562,Cosita
stifler_199x,18369612481115153,Toda preciosa la meridana..¡bomba!
metropolitan.dental.group,18043187318159248,La hermosa princesa Chaac
gabogruppi,17843123832361133,Tss que buena cancioncita! 😢
chilesracingteam,18047588162062834,Hermosa!!! 😍😍😍
adanolachea,17882363220130765,Que rolonon #cyberpunk2077
eh_nature,18096612319456438,"Muy guapa, y como que ya me esta gustando ese acento jaja"
gardeaphotography,18457558153023290,¿Qué no lo habían destruido?
liafans19,18129337195335571,Ay q quitarlo ya
torresasecas,18021950924381999,"Te amo, preñas ?"
oscarestrada1050,18163133011311448,Cuando fui estaba con mucha gente 😮
armandor.t,17975164484772162,Socializando con el enemigo.......😒😒😒😒😒😒😒😒
adrian.per.aguila,18012121664620812,Estas hermosa
ernesto.mendoza.503092,17876863122148847,Le echaste la mirada. Jajajajaja
jhoa.nxavi,18121189306376213,Esa canción me sigue poniendo sad 😢
fake_xilocibe,18059040190737316,Que ganotas de ir a Merida y buscar una Vicky Wolf para matrimoniarme con ella 😍
guts_xingke,17950444136731430,Good song
florestrella575,18064669234621228,Buena edición 🙌
jesusfarfansantos,17902835154031654,La más linda
arturovazquez12158,17999287283670644,🙌🙌chack
sca_nordh,18039560479892487,"Tienes una chispa unica, me encantaria conocerte"
danielespinosa21,18008716850378145,Diosa chaac
cesar.garsan,18059549482671383,QUE BELLÍSIMA
cesar.garsan,18067563907549670,😍😍😍
omaru365,17958191843807630,😢 so chack
