https://www.instagram.com/p/DB7FO-zpeoE/,hashtags:,#yucatan,#hanalpixan,#mexico,#diademuertos
username,comment_id,text
mr_kite5_oficial,17919892824141154,hanal pishan como día de muertos en el resto del país
montano.cris,18054856976173082,"Wow!!
Hermoso!!"
t3r3sa43,18071207851775362,Tu traje es una joya ❤️
skynny216,18084096361603174,Estaría chido ver a @totifruttt  con su terno y bailando juntas
adriancampa123,18108940270450010,❤️❤️❤️👏👏🙌🙌🙌
chef_sarasuady,18076903282589722,Jajajaha ta' tan chaparrito el compañero de baile que le pusieron un block para que alcance jajajaja ay mi vida 💗 más bonita
mancouldfly,18150378436339708,😍😍❤️😍😍
la_vida_de_doralysvlogs,18025218707257200,💜💜💜💜💜
valenciaje,17907446433045278,Qué guapa!!!
maribelwitch,18082385812551338,Que bonito ❤️
aycelahernandezflota,18029702414379933,VICTORIA MAÑANA
tortillensen,17912284977013226,Como cuando los yucatecos se disfrazan de yucatecos eda?
caamalduarte,17909703630031248,Bonitas fotos...cucha eres lo maximo
cesar.garsan,18052557502756206,QUE BEISSIMA
cesar.garsan,18289042474227536,😍😍😍
hugo_manfrini,18046275692305097,Pies
yayhosz,18085869874519621,🔥🔥
alan_pic_,18050816857795871,Tan bella
erick_moracs,18299442166203914,"Ne! Estás blanca! Cómo la nieve tu no eres iuca wepuchi eres europea, llegaste en barco desde las europas JAJAJAJA"
lysoso_888,18106354639442745,"Está hermoso tu traje, que bonito que celebren así."
mayrabyy,17901780675064543,Que bello 😍
victor.rg.5680,17945948129909045,Qué preciosa usted muchacha 😍
susanitaprice,18050361508797544,Que bonita tradición con trajes regionales 😍😍
armandor.t,18003981989678120,😍😍😍😍😍
jorgitoberzunza,18042545062898331,❤️❤️❤️❤️
jean_francoise1,18110346718388902,Awww muy guapa
adrian.per.aguila,18060914473634066,Estoy completamente enamorado de ti
diazsaiyan,18048492757840594,Te pusistes tus huaraches
rocasamantha,17908841808025605,"Que hermoso traje, lo luces como una reina ❤️"
mimo80s,17940947729793704,👏👏👏👏👏
gme.delarosa,18046006910047599,No manche 😮❤️
alyelcosmicoy,17961746486821849,Mí yucateca cásate conmigo ❤️❤️❤️💕
luis.canales.14418101,18063804238738677,Hermosa yucateca 👏👏👏
sergio.santamaria.560,18316537648091887,❤️
medi.viri,17969720564797649,Que baile la licenciadaaaaa 🙌
omaru365,17867639688236950,Le falta los lentes a la niña datazo 🥲
ah_he_5791,17848986432335991,Cuando haces un video con tu mamá??
mago.delocio,17998150721524394,¡¡Que belleza!! Celebrar nuestras tradiciones de manera tradicional. Que viva Yucatán
b3rgerack,18471081700004483,Que guapa!
kiuby200880,18045590555476717,Hermosaaaa😍😍😍😍
htc78686,17855491641298578,"muy bien, felicidades por eso"
osvaldohm,18008145368486983,😍
arte__sangre,17992479152565443,❤️❤️❤️❤️❤️❤️❤️❤️❤️
geo.lander.007,17941885166909124,Está incompleto tu traje. Saludos! Es solo opinión.
vickywolff,18045911189495193,@geo.lander.007 está tan completo que de hecho sobra una prenda 🤔
geo.lander.007,17982507308766679,@vickywolff no se usan chanclas ni sandalias. Y x cierto d que lado tienes el tocado? Solo para saber. Jijiji
geo.lander.007,18040860352954491,"@jugalde806 no te apasiones, es solo punto d vista y opinión. Pero ntp. Agradezco tu forma de responder."
jorgepporras,17919205191005252,@vickywolff los lentes???😂😂😂
jorgepporras,18042454189910989,@vickywolff la bolsa de yute???
jorgepporras,18063678151686173,@vickywolff 🤔🤔🤔 tu compañero de baile!!!???😂😂😂
jesusfarfansantos,17852254710320886,A te adormezco en mi hamaca bb
