https://www.instagram.com/p/DH7MiDNM0sr/,hashtags:,#studioghibli,#animacion,#ghibli,#yucatan,#merida,#chaac,#culturamaya
username,comment_id,text
mr_kite5_oficial,18055576286420590,amo yucatan
edergato4,18378788029192223,Llegué tarde para ésto
klarajf,17902050720119643,Uay rebiem que te ves animada
snoopyramon,18056227018957128,"Las dos últimas, guapísima"
dxparra,18075801241770144,Y la de la hamaca?
jonathan.bucio868,18136189822402606,Corrección tu vida es una caricatura
coronabarbizan,18502173541003634,Eres la idea de una caricatura genial sobre México
hrotrick,17903659917112235,Ya gastaste 2000000 de litros de agua ninia!!
tenshi170511,18056421791162917,Falto la caída de la amaca
itsh4ck4ng3l,18356586865176285,"Me encanta todo tu contenido pero te pido que esto no, lo pido con todo el respeto que se merece una buena creadora, que respeta y cuida su cultura tratemos de cuidar otras culturas tambien😢😢😢😢"
itsh4ck4ng3l,18037482440257149,"Ni al uso de este filtro está matando el verdadero arte de Ghibli se que se ve muy apetecible pero estás IA destruirán la industria del anime, por favor no la usen😢😢😢😢😢😢"
eddlr,18035546483632677,Y uno de la caída de la hamaca?? Sería épica
frank_saynes,18072924949671729,Ahora una del porrazo con la hamaca 🤭
dobleequixx,18042305786609841,"No se bale boxita, salen too much bonitas."
dobleequixx,18054484714967093,@dobleequixx kisses. 😤💨💨💨
okafor._z,18275340838251513,Que la funden dice
rox_t4r,18066434332759105,Tienes idea de cuántos litros de agua gastas en cada imagen ? 😔
_marylsx_,17902153686118810,Hermosaaaaaaaaa ❤️❤️❤️❤️ 🙌🌈🙌❤️❤️❤️❤️❤️✨✨✨💖
matthdylan,17907859998101332,Noooo Vicky! Acabas de dejar sin agua a Nuevo León
galorandkeid,18078292684683980,Pruebate el estilo pixar igual salen muy buenas fotos
wblester,18362386033122424,Mejora con el audio de la canción de los lugares de Yucatán
aracelimag,18135090979401438,Súper lindas!
dawolfimozi,18066490930935732,Te quiero mucho Vicky uwu
regomezcontreras,17919874722069224,Que bonita 👏👏👏
jaiemruzi,17867851950265182,Contrata artistas
luis.mercado04,18060151355043389,y la hamaca? 🤔
davidtorres7871,18160805542353705,
gsnizy.00,18157553620357261,Faltó una de la amaca
koffeelily,18079574557661237,Pero son de IA :(
angel_rx2,17895596793192240,Realmente estoy enamorado de ti! ❤️ Jajaja
robertoguerrerootrab2019,18055940408173870,Faltó una de la caída de la hamaca cuando te pegaste en el bobox
aldair.moreno.to,18029492999344321,De studio Ghibli?
theronomos,17975744231837452,Maaa
lalo.xyloto,18055559705177719,Awwww
panchis_drums7,17873994990305617,Plagio
bogdan_andre.cfl,17961973724875830,😍❤️
olmecadigital,17859094452331902,"Y la onda es que si le atina, eres un anime hecho humana"
hogro_hernandez_,18052106924202247,@vickywolff supiste el daño ecólogico que hizo ese trend de dicen que tuvieron que usar 2 litros de agua por cada imagen para enfriar los servidores de la inteligencia artificial y muchos están funando por eso
solosolin98,18082083790644516,"@hogro_hernandez_ más agua usa insta, Google, Facebook, X y aquí seguimos usándolos"
fran._18_del_valle,18009258362721582,"@solosolin98 Se hecho no, si utilizan agua pero ni en pedo tanta como la que usa la IA porque ella debe hacer más esfuerzo en sus procesadores para darte tu imagen toda copiada y algoritmos de Ghibli (que de hecho Ghibli no dió los permisos para usar su trabajo en el entrenamiento de IA, técnicamente están robando)"
cabre_ana,17964917912887680,Que bonitaa
arqui_serch,18025015034456573,La verdad el filtro se queda corto 😍
qslebard,18078286576780582,No hay  uno de la caída de la hamaca?
