https://www.instagram.com/p/DQiiwN3jA3z/,hashtags:,#liveondeath,#animaciónmexicana,#serieanimada,#cameos
username,comment_id,text
missmangel,18058289486244952,😍😍😍😍😍
grettel_murder,17955429072001974,Diki duki dariel!!!???😮
vianeyfedeli,18122411221519917,@grettel_murder cuál esss no capto
betsy_doodles,18085966835509816,😺
carlosss748,17914107891087788,Vi a diki duki Dariel en una esquina
chavezcruzangel07,18320573734246742,Veo a @soyalerios y posiblemente a @liizabaez
jose_alberto.64,17989290356903524,"Yeeeeiiiii, ahí está @missmangel 🤩🤩👏👏"
maralopezzz_,18052137704736334,y @vickywolff 👀
aclopezo,18070927346029448,🙌🙌❤️❤️ @tapperron
littlefanbigheart22,17960324396991444,@liizabaez ?
maralopezzz_,18063287522421970,@tapperron ‼️
tapperron,18404587312136805,@maralopezzz_ 😮
tscb_24,18094956397895180,"@diki_duki_dariel , un crack 💛"
paulmissale095,18026121179562346,😮😮😮😮😮😮😮😮 @soy.jotacee @minynaranja
monicagonzalez2426,18024067592579839,"@Tapoerron, @minynaranja"
solfeermusiic2000,17913982392231726,"@vickywolff , @totifruttt , @soy.jotacee"
