https://www.instagram.com/p/DS-1dYvEiDH/,hashtags:,#añonuevo,#2026
username,comment_id,text
rossamerica,18137218396472244,Nosotros lo hicimos!!!!!✨️🤗
_lakoris,18100230586661518,Yo también lo hice!!!🔥🔥
jorge_gutierrez_lule,18546897643004463,Amo tu vibra :) . . .
carolopso75,17844473541667505,Jaja era aventar las lentejas pero igual recoger un poquito y guardarlas en tu cartera ja pa el próximo año 🙌
f_a_n_y_crg,18101971549692118,Eran las lentejas no el celular 😂😂😂😂
jgmondragon25,18112889209535080,"En mi familia las cocinamos y las comemos en año nuevo. Y sí, se supone que es para la abundancia"
osensaga,18373905307084253,Señorita Vicky... Cuando un yucateco se pelea con un no yucateco... A quien le gana la risa primero con la manera de hablar del otro?
osensaga,17974666829975099,Feliz año nuevo! @vickywolff
kerhim21,17875761231464053,Ya me vi... Ojalá que mis problemas sea no saber en qué gastarme el dinero 😂
david5677625,18136092376494195,Donde aprenden tantas mamadas los cuchos😂
