https://www.instagram.com/p/DT3xj84Echb/,hashtags:,#yucatecos,#yucatan
username,comment_id,text
lopezmariaauxilio,18117031102581279,😂😂😂😂
aguefelina,18071758670132205,😂😂😂
martinezlucio,18441878335100972,Se me hacen tan chido conocer como hablan todos los mexicanos. 🇲🇽
xolosaurio,18101524006872609,@martinezlucio las expresiones hacen el otro 50% de la magia
hugo_taki_moreno,18373327318094398,Creo que la mesera era Dory 😂
n.jesusmiguel,18018918992801125,😂😂😂
faustino.6416,18070368242410182,😂😂😂😂😂😂😂😂😂😂
doloresdegemma,18160961077410033,🤭
dannamelissaposadas,18079658351194393,😍😂😂Ke entendí YUCAKEKA JAJAJAJA
el_insano_a,18069220769180495,Jajaja se te enota rápido
marioalonsogrijalva,17933910975168515,Way
roger59941,18026183852792696,Cuenta sobre los aluxes de las milpas
christianolverasalazar,17975853701963805,Esos cabezones... Jajajaja
tilosmanuel,17963799468009618,Hasta la mesera es Yucateca!! 😂😂🙌🙌
juandediguhe,17899258146223201,La yucafresa
